주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,146,148,147,136,125
영업이익,8,6,7,2,-6
영업이익(발표기준),8,6,7,2,-6
세전계속사업이익,6,8,6,2,-4
당기순이익,6,8,6,13,-14
  당기순이익(지배),6,8,6,13,-14
  당기순이익(비지배),,,,,
자산총계,133,142,146,181,291
부채총계,17,19,15,37,31
자본총계,116,123,131,144,261
  자본총계(지배),116,123,131,144,261
  자본총계(비지배),,,,,
자본금,22,22,22,22,28
영업활동현금흐름,15,6,17,16,-7
투자활동현금흐름,-14,-19,-16,-12,-118
재무활동현금흐름,0,1,0,-3,128
CAPEX,3,5,1,1,3
FCF,12,1,16,15,-10
이자발생부채,0,0,0,19,14
영업이익률,5.40,3.84,4.63,1.34,-4.64
순이익률,4.18,5.09,4.19,9.29,-11.54
ROE(%),5.70,6.30,4.84,9.14,-7.13
ROA(%),4.56,5.47,4.27,7.68,-6.11
부채비율,15.07,15.19,11.62,25.62,11.76
자본유보율,441.82,476.44,511.23,556.29,824.20
EPS(원),145,174,142,290,-279
PER(배),,,,,N/A
BPS(원),"2,675","2,849","3,024","3,269","4,686"
PBR(배),0.00,0.00,0.00,0.00,2.81
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,393,750","3,393,750","3,393,750","4,419,008","5,667,658"
