주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"13,264","10,636","16,425","11,016","13,640"
영업이익,719,478,588,543,319
영업이익(발표기준),719,478,588,543,319
세전계속사업이익,295,334,430,456,571
당기순이익,225,241,282,376,472
  당기순이익(지배),225,241,282,376,472
  당기순이익(비지배),,0,,,
자산총계,"9,421","9,692","10,392","9,775","10,898"
부채총계,"6,039","6,155","6,617","5,770","6,473"
자본총계,"3,381","3,536","3,775","4,005","4,425"
  자본총계(지배),"3,383","3,537","3,775","4,005","4,425"
  자본총계(비지배),-1,,,,
자본금,"1,070","1,070","1,070","1,070","1,070"
영업활동현금흐름,"1,025",-250,937,"2,111","-1,105"
투자활동현금흐름,603,134,-248,"-2,292",58
재무활동현금흐름,-500,-187,226,-367,-455
CAPEX,11,11,12,"1,441",15
FCF,"1,014",-261,926,670,"-1,120"
이자발생부채,"2,096","2,019","2,385","2,231","1,917"
영업이익률,5.42,4.49,3.58,4.93,2.34
순이익률,1.70,2.27,1.72,3.42,3.46
ROE(%),6.93,6.97,7.72,9.68,11.20
ROA(%),2.44,2.53,2.81,3.73,4.57
부채비율,178.61,174.07,175.26,144.05,146.28
자본유보율,202.73,231.25,254.00,283.61,324.08
EPS(원),"1,051","1,127","1,319","1,759","2,205"
PER(배),7.74,6.27,4.93,4.92,3.71
BPS(원),"15,806","16,529","17,642","19,879","22,186"
PBR(배),0.51,0.43,0.37,0.44,0.37
현금DPS(원),130,130,150,180,180
현금배당수익률,1.60,1.84,2.31,2.08,2.20
현금배당성향(%),12.37,11.53,11.37,9.64,7.61
발행주식수(보통주),"21,400,000","21,400,000","21,400,000","21,400,000","21,400,000"
