주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,319,328,374,380,364
영업이익,43,-22,61,56,64
영업이익(발표기준),43,-22,61,56,64
세전계속사업이익,48,-6,86,81,62
당기순이익,36,-2,71,66,49
  당기순이익(지배),36,-2,71,65,48
  당기순이익(비지배),,,,0,0
자산총계,536,561,625,709,717
부채총계,113,140,134,160,128
자본총계,424,421,490,549,590
  자본총계(지배),424,421,490,548,587
  자본총계(비지배),,,,2,3
자본금,83,83,83,83,83
영업활동현금흐름,45,-7,21,104,64
투자활동현금흐름,4,-21,-24,-36,-40
재무활동현금흐름,-38,-18,8,-3,-35
CAPEX,5,1,3,11,21
FCF,40,-8,19,93,43
이자발생부채,27,9,53,59,60
영업이익률,13.62,-6.62,16.25,14.85,17.59
순이익률,11.23,-0.71,18.98,17.24,13.43
ROE(%),8.71,-0.55,15.57,12.54,8.54
ROA(%),6.77,-0.43,11.97,9.83,6.86
부채비율,26.55,33.25,27.41,29.05,21.63
자본유보율,425.89,421.50,505.36,573.60,620.24
EPS(원),216,-14,427,392,291
PER(배),25.84,N/A,10.23,28.34,32.85
BPS(원),"2,577","2,558","2,982","3,329","3,566"
PBR(배),2.16,1.98,1.46,3.33,2.68
현금DPS(원),0,0,61,61,61
현금배당수익률,0.00,0.00,1.40,0.55,0.64
현금배당성향(%),0.00,0.00,14.14,15.41,20.73
발행주식수(보통주),"16,623,293","16,623,293","16,623,293","16,623,293","16,623,293"
