주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,,,237,394,419,511,651,808
영업이익,,,20,36,41,57,93,169
영업이익(발표기준),,,20,36,41,,,
세전계속사업이익,,,21,31,46,60,97,173
당기순이익,,,21,27,42,53,84,150
  당기순이익(지배),,,21,27,42,53,84,150
  당기순이익(비지배),,,,,,,,
자산총계,,,207,277,522,578,665,820
부채총계,,,156,192,87,92,95,99
자본총계,,,51,84,435,486,570,721
  자본총계(지배),,,51,84,435,486,570,721
  자본총계(비지배),,,,,,,,
자본금,,,1,20,41,41,41,41
영업활동현금흐름,,,29,37,34,61,87,150
투자활동현금흐름,,,-74,-43,-198,-18,-21,-25
재무활동현금흐름,,,80,23,177,7,7,7
CAPEX,,,4,4,5,0,0,0
FCF,,,25,33,29,47,72,135
이자발생부채,,,108,135,9,,,
영업이익률,,,8.46,9.24,9.89,11.15,14.29,20.92
순이익률,,,8.92,6.82,9.96,10.37,12.90,18.56
ROE(%),,,,39.60,16.07,11.51,15.91,23.24
ROA(%),,,,11.10,10.45,9.63,13.52,20.20
부채비율,,,303.36,228.25,20.03,18.93,16.67,13.73
자본유보율,,,"5,030.51",360.18,966.52,,,
EPS(원),,,525,447,584,641,"1,016","1,814"
PER(배),,,,,37.70,23.09,14.57,8.16
BPS(원),,,872,"1,314","5,261","5,877","6,893","8,719"
PBR(배),,,0.00,0.00,4.18,2.52,2.15,1.70
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,,,,
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,095,507","8,269,707",,,
