주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,061","2,450","2,774","2,895","3,464"
영업이익,314,403,499,493,768
영업이익(발표기준),314,403,499,493,768
세전계속사업이익,359,418,585,654,855
당기순이익,264,303,442,493,639
  당기순이익(지배),265,303,442,493,639
  당기순이익(비지배),0,,,,
자산총계,"4,259","4,771","5,197","5,759","6,426"
부채총계,332,455,512,690,799
자본총계,"3,927","4,316","4,685","5,069","5,626"
  자본총계(지배),"3,925","4,316","4,685","5,069","5,626"
  자본총계(비지배),2,,,,
자본금,111,111,111,111,111
영업활동현금흐름,281,425,449,576,704
투자활동현금흐름,-301,-580,-437,-415,-358
재무활동현금흐름,-51,159,-46,-88,-75
CAPEX,302,584,460,453,637
FCF,-21,-160,-10,122,67
이자발생부채,,0,11,51,44
영업이익률,15.25,16.43,17.99,17.04,22.16
순이익률,12.82,12.37,15.94,17.04,18.44
ROE(%),6.94,7.32,9.82,,11.95
ROA(%),6.36,6.68,8.87,,10.49
부채비율,8.46,10.54,10.92,13.61,14.21
자본유보율,"3,545.15","3,867.21","4,199.66","4,569.36","5,070.75"
EPS(원),"2,387","2,733","3,987","4,448","5,761"
PER(배),16.38,8.56,8.77,8.57,7.47
BPS(원),"41,007","42,101","45,701","49,448","54,880"
PBR(배),0.95,0.56,0.76,0.77,0.78
현금DPS(원),660,"1,000","1,100","1,100","1,330"
현금배당수익률,1.69,4.27,3.15,2.89,3.09
현금배당성향(%),23.87,23.62,17.52,16.24,16.79
발행주식수(보통주),"11,090,000","11,090,000","11,090,000","11,090,000","11,090,000"
