주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,,,106,140,223,372
영업이익,,,8,18,40,66
영업이익(발표기준),,,8,18,40,
세전계속사업이익,,,8,13,40,69
당기순이익,,,7,14,38,60
  당기순이익(지배),,,7,14,38,60
  당기순이익(비지배),,,,,,
자산총계,,,63,149,445,
부채총계,,,42,113,80,
자본총계,,,21,36,365,
  자본총계(지배),,,21,36,365,
  자본총계(비지배),,,,,,
자본금,,,2,2,43,
영업활동현금흐름,,,-18,30,18,
투자활동현금흐름,,,-7,-37,-40,
재무활동현금흐름,,,19,46,220,
CAPEX,,,3,15,41,
FCF,,,-21,15,-22,
이자발생부채,,,35,72,32,
영업이익률,,,7.65,12.96,18.02,17.85
순이익률,,,6.46,9.68,16.90,16.11
ROE(%),,,,47.76,18.78,
ROA(%),,,,12.80,12.69,
부채비율,,,199.27,316.64,21.79,
자본유보율,,,732.82,"1,369.08",726.06,
EPS(원),,,151,294,577,617
PER(배),,,,,,41.01
BPS(원),,,460,764,"4,254",
PBR(배),,,0.00,0.00,0.00,
현금DPS(원),0,0,0,0,0,
현금배당수익률,,,,,,
현금배당성향(%),,,0.00,0.00,0.00,
발행주식수(보통주),"4,560,000","4,560,000","4,560,000","4,560,000","8,580,985",
