주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,173,375,513,669
영업이익,,7,23,31,-25
영업이익(발표기준),,7,23,31,-25
세전계속사업이익,,4,21,31,-47
당기순이익,,4,26,32,-26
  당기순이익(지배),,4,26,32,-26
  당기순이익(비지배),,,,,
자산총계,,44,133,204,491
부채총계,,40,100,139,190
자본총계,,4,33,65,301
  자본총계(지배),,4,33,65,301
  자본총계(비지배),,,,,
자본금,,2,2,20,29
영업활동현금흐름,,2,34,63,-79
투자활동현금흐름,,-2,-5,-8,-62
재무활동현금흐름,,8,1,-9,241
CAPEX,,1,2,2,4
FCF,,1,32,61,-83
이자발생부채,,23,57,23,81
영업이익률,,3.91,6.20,5.95,-3.77
순이익률,,2.15,6.81,6.16,-3.90
ROE(%),,,,64.81,-14.28
ROA(%),,,,18.75,-7.51
부채비율,,981.71,303.88,215.95,63.28
자본유보율,,101.49,"1,548.36",312.86,935.10
EPS(원),,93,638,790,-575
PER(배),,,,,N/A
BPS(원),,101,824,"1,513","5,035"
PBR(배),,0.00,0.00,0.00,4.83
현금DPS(원),0,1,0,0,
현금배당수익률,,,,,
현금배당성향(%),,8.61,0.00,0.00,
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,000,000","5,776,980"
