주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,50,80,113,51,87
영업이익,9,-11,-34,-9,-48
영업이익(발표기준),9,-11,-34,-9,-48
세전계속사업이익,-10,-50,-314,-31,-166
당기순이익,-10,-50,-316,-15,-195
  당기순이익(지배),-10,-49,-316,-15,-195
  당기순이익(비지배),,-1,,,
자산총계,266,380,729,714,874
부채총계,212,178,519,117,244
자본총계,54,203,211,597,630
  자본총계(지배),54,203,211,597,630
  자본총계(비지배),,,,,
자본금,33,86,169,331,416
영업활동현금흐름,-9,-36,-35,33,-11
투자활동현금흐름,-103,-56,-547,134,-76
재무활동현금흐름,139,165,521,-22,309
CAPEX,1,2,4,1,1
FCF,-10,-38,-39,32,-12
이자발생부채,172,153,485,95,198
영업이익률,18.63,-14.04,-30.21,-16.97,-54.81
순이익률,-19.18,-62.40,-279.11,-29.11,-223.18
ROE(%),-26.61,,-153.58,-3.71,-31.72
ROA(%),-5.12,,-57.06,-2.08,-24.52
부채비율,395.26,87.68,246.22,19.56,38.75
자본유보율,65.68,138.56,25.44,80.91,52.34
EPS(원),-101,-389,"-1,097",-33,-252
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),540,"1,184",623,903,758
PBR(배),5.09,1.20,2.60,1.59,1.70
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,955,246","17,136,344","33,858,959","66,197,245","83,267,529"
