주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,088","1,237","1,609","1,539","35,369"
영업이익,138,136,159,191,"3,256"
영업이익(발표기준),138,136,159,191,"3,256"
세전계속사업이익,148,142,"1,185",320,"2,558"
당기순이익,117,113,978,267,"1,926"
  당기순이익(지배),117,113,978,267,479
  당기순이익(비지배),,,,,"1,447"
자산총계,"2,062","2,260","4,332","25,584","30,675"
부채총계,591,759,"1,908","15,082","18,316"
자본총계,"1,471","1,501","2,424","10,501","12,359"
  자본총계(지배),"1,471","1,501","2,424","2,681","3,190"
  자본총계(비지배),,,,"7,820","9,169"
자본금,201,201,201,201,201
영업활동현금흐름,201,148,98,288,-437
투자활동현금흐름,-148,-163,"-1,022",-27,"-1,032"
재무활동현금흐름,-17,15,868,-69,"1,930"
CAPEX,49,65,117,195,827
FCF,152,83,-19,93,"-1,264"
이자발생부채,338,492,"1,402","10,423","12,669"
영업이익률,12.72,11.03,9.87,12.39,9.21
순이익률,10.78,9.11,60.78,17.33,5.45
ROE(%),8.21,,49.53,,16.32
ROA(%),5.84,,29.95,,6.85
부채비율,40.17,50.55,78.72,143.62,148.20
자본유보율,628.82,666.66,"1,124.40","1,254.98","1,489.37"
EPS(원),326,313,"2,716",741,"1,331"
PER(배),12.77,10.26,1.22,9.08,11.01
BPS(원),"4,102","4,281","6,913","7,757","8,862"
PBR(배),1.01,0.75,0.48,0.87,1.65
현금DPS(원),100,100,110,110,120
현금배당수익률,2.40,3.12,3.31,1.63,0.82
현금배당성향(%),30.59,31.12,3.94,14.26,9.02
발행주식수(보통주),"36,000,000","36,000,000","36,000,000","36,000,000","36,000,000"
