주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,610,460,450,436,577
영업이익,-50,-129,-20,-79,-179
영업이익(발표기준),-50,-129,-20,-79,-179
세전계속사업이익,-67,-85,-226,-438,-758
당기순이익,-67,-85,-290,-441,-710
  당기순이익(지배),-67,-85,-280,-438,-695
  당기순이익(비지배),,,-10,-3,-16
자산총계,364,"1,007","1,647","2,482","1,945"
부채총계,203,322,557,"1,366","1,079"
자본총계,161,684,"1,090","1,116",865
  자본총계(지배),161,684,"1,090","1,078",851
  자본총계(비지배),,,,38,14
자본금,190,372,602,703,850
영업활동현금흐름,-5,-46,-39,46,-175
투자활동현금흐름,-8,-569,-356,-642,-471
재무활동현금흐름,12,722,"1,021",672,135
CAPEX,10,15,2,9,101
FCF,-16,-61,-41,38,-276
이자발생부채,103,232,418,"1,084",841
영업이익률,-8.21,-28.07,-4.39,-18.22,-31.06
순이익률,-10.93,-18.55,-64.53,-101.13,-123.01
ROE(%),-34.33,-20.19,,-40.36,-72.00
ROA(%),-17.02,-12.45,,-21.36,-32.09
부채비율,126.12,47.05,51.06,122.45,124.71
자본유보율,-14.08,83.84,81.55,53.02,-0.36
EPS(원),-176,-168,-334,-334,-426
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),424,919,905,766,501
PBR(배),2.40,1.57,2.31,2.75,2.19
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"37,937,500","74,460,326","120,429,650","140,651,093","169,906,834"
