주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,470,445,324,200,223
영업이익,-108,15,-45,-35,-48
영업이익(발표기준),-108,15,-45,-35,-48
세전계속사업이익,-103,23,-38,-43,-39
당기순이익,-105,15,-43,-43,-39
  당기순이익(지배),-105,15,-43,-43,-39
  당기순이익(비지배),0,0,,,
자산총계,373,387,296,244,553
부채총계,98,97,50,42,275
자본총계,275,289,245,202,278
  자본총계(지배),275,289,245,202,278
  자본총계(비지배),0,,,,
자본금,56,56,56,56,66
영업활동현금흐름,-47,-66,0,7,-37
투자활동현금흐름,5,52,0,3,0
재무활동현금흐름,2,0,-2,-3,334
CAPEX,1,0,0,,
FCF,-48,-66,0,7,-37
이자발생부채,0,,2,3,227
영업이익률,-23.05,3.47,-13.80,-17.40,-21.69
순이익률,-22.33,3.29,-13.34,-21.34,-17.52
ROE(%),-33.25,5.20,-16.19,-19.05,-16.26
ROA(%),-22.30,3.86,-12.68,-15.78,-9.78
부채비율,35.58,33.64,20.48,21.04,99.19
자본유보율,370.59,395.92,318.54,285.01,345.61
EPS(원),-931,131,-385,-379,-345
PER(배),N/A,22.14,N/A,N/A,N/A
BPS(원),"2,530","2,661","2,256","1,858","2,180"
PBR(배),1.50,1.09,1.03,1.51,4.02
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"11,250,000","11,250,000","11,250,000","11,250,000","13,113,585"
