주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,119,132,95,132,217
영업이익,26,31,13,29,61
영업이익(발표기준),26,31,13,29,61
세전계속사업이익,25,35,14,29,64
당기순이익,25,30,14,25,53
  당기순이익(지배),25,30,14,25,53
  당기순이익(비지배),,0,,,
자산총계,161,192,211,246,466
부채총계,12,15,21,33,48
자본총계,148,176,189,214,417
  자본총계(지배),148,176,189,214,417
  자본총계(비지배),,,,,
자본금,17,23,23,23,31
영업활동현금흐름,31,41,7,35,40
투자활동현금흐름,-22,-45,-13,-16,-184
재무활동현금흐름,3,-4,0,0,152
CAPEX,6,8,3,1,21
FCF,25,33,4,34,19
이자발생부채,0,0,5,5,6
영업이익률,21.82,23.27,13.46,21.80,28.19
순이익률,20.77,22.57,14.39,18.64,24.49
ROE(%),18.11,18.36,7.51,12.20,16.84
ROA(%),16.63,16.91,6.82,10.76,14.93
부채비율,8.38,8.76,11.23,15.36,11.54
자본유보율,759.12,660.12,716.33,821.71,"1,243.15"
EPS(원),535,648,298,534,"1,096"
PER(배),,,,,33.85
BPS(원),"3,224","3,834","4,115","4,642","6,741"
PBR(배),0.00,0.00,0.00,0.00,5.50
현금DPS(원),87,0,0,0,100
현금배당수익률,,,,,0.27
현금배당성향(%),16.23,0.00,0.00,0.00,11.65
발행주식수(보통주),"4,600,000","4,600,000","4,600,000","4,600,000","6,193,410"
