주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,914,355,851,"1,062",506
영업이익,156,-17,77,250,-44
영업이익(발표기준),156,-17,77,250,-44
세전계속사업이익,143,-17,79,202,-15
당기순이익,121,-10,84,172,-4
  당기순이익(지배),121,-10,84,172,-4
  당기순이익(비지배),,,,,
자산총계,725,652,867,909,843
부채총계,203,126,260,131,104
자본총계,522,526,608,777,739
  자본총계(지배),522,526,608,777,739
  자본총계(비지배),,,,,
자본금,26,28,28,57,57
영업활동현금흐름,106,-61,-16,329,-32
투자활동현금흐름,-225,48,-41,-40,-37
재무활동현금흐름,235,-58,-1,-52,-50
CAPEX,146,4,25,6,3
FCF,-41,-65,-41,323,-35
이자발생부채,106,40,45,5,5
영업이익률,17.09,-4.82,9.05,23.51,-8.64
순이익률,13.25,-2.88,9.92,16.20,-0.87
ROE(%),32.53,-1.95,14.90,,-0.58
ROA(%),20.04,-1.48,11.11,,-0.50
부채비율,38.83,24.03,42.72,16.88,14.05
자본유보율,"1,930.59","1,812.52","2,131.95","1,301.50","1,252.46"
EPS(원),"1,304",-96,746,"1,521",-39
PER(배),9.20,N/A,18.26,8.42,N/A
BPS(원),"4,963","4,647","5,399","6,872","6,598"
PBR(배),2.42,1.02,2.52,1.86,1.49
현금DPS(원),100,0,100,150,100
현금배당수익률,0.83,0.00,0.73,1.17,1.02
현금배당성향(%),8.68,0.00,13.27,9.86,-253.80
발행주식수(보통주),"10,516,300","11,312,236","11,312,236","11,312,236","11,312,236"
