주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,618,669,716,537,547
영업이익,76,94,104,39,60
영업이익(발표기준),76,94,104,39,60
세전계속사업이익,91,115,131,16,53
당기순이익,58,88,102,1,34
  당기순이익(지배),58,88,102,1,34
  당기순이익(비지배),,,,,
자산총계,"1,680","1,737","1,908","1,821","1,892"
부채총계,119,128,226,158,171
자본총계,"1,561","1,609","1,682","1,663","1,720"
  자본총계(지배),"1,561","1,609","1,682","1,663","1,720"
  자본총계(비지배),,,,,
자본금,64,64,64,64,64
영업활동현금흐름,51,128,132,94,129
투자활동현금흐름,-155,14,-220,-2,-198
재무활동현금흐름,-15,-15,-7,-37,-37
CAPEX,28,24,5,7,3
FCF,23,104,127,87,127
이자발생부채,0,0,85,72,56
영업이익률,12.32,13.98,14.53,7.33,11.06
순이익률,9.39,13.15,14.25,0.23,6.20
ROE(%),3.80,5.55,,0.07,2.00
ROA(%),3.51,5.15,,0.07,1.83
부채비율,7.60,7.94,13.46,9.51,9.97
자본유보율,"2,325.70","2,438.54","2,572.20","2,546.71","2,578.48"
EPS(원),911,"1,382","1,601",19,532
PER(배),17.73,11.44,9.96,851.21,36.34
BPS(원),"25,577","26,363","27,550","27,245","28,185"
PBR(배),0.63,0.60,0.58,0.61,0.69
현금DPS(원),250,250,300,300,250
현금배당수익률,1.55,1.58,1.88,1.81,1.29
현금배당성향(%),26.30,17.34,17.96,"1,478.38",44.99
발행주식수(보통주),"6,370,000","6,370,000","6,370,000","6,370,000","6,370,000"
