주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,162",826,643,"1,019","1,140"
영업이익,59,110,89,87,61
영업이익(발표기준),59,110,89,87,61
세전계속사업이익,46,113,79,48,94
당기순이익,57,98,77,50,85
  당기순이익(지배),57,98,77,50,85
  당기순이익(비지배),,,,,
자산총계,"1,497","1,365","1,520","1,504","1,696"
부채총계,545,287,366,300,407
자본총계,952,"1,077","1,154","1,204","1,289"
  자본총계(지배),952,"1,077","1,154","1,204","1,289"
  자본총계(비지배),,,,,
자본금,156,172,172,172,172
영업활동현금흐름,118,209,28,310,92
투자활동현금흐름,24,-57,-19,-73,-187
재무활동현금흐름,,-30,-1,-114,-1
CAPEX,23,2,1,21,34
FCF,95,206,27,288,57
이자발생부채,241,113,114,1,1
영업이익률,5.09,13.28,13.88,8.49,5.38
순이익률,4.95,11.90,12.00,4.88,7.43
ROE(%),6.22,,6.92,4.21,6.80
ROA(%),4.05,,5.36,3.29,5.29
부채비율,57.27,26.67,31.68,24.95,31.55
자본유보율,522.23,539.20,584.11,613.16,662.77
EPS(원),184,302,225,145,247
PER(배),21.10,9.62,12.09,27.14,14.00
BPS(원),"3,057","3,149","3,373","3,519","3,767"
PBR(배),1.27,0.92,0.81,1.12,0.92
현금DPS(원),0,,,,
현금배당수익률,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"31,250,000","34,322,870","34,322,870","34,322,870","34,322,870"
