주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,127,88,132,172,195
영업이익,27,5,20,53,43
영업이익(발표기준),27,5,20,53,43
세전계속사업이익,25,5,16,48,47
당기순이익,22,5,14,42,43
  당기순이익(지배),22,5,14,42,43
  당기순이익(비지배),,,,,
자산총계,200,228,251,336,639
부채총계,130,153,164,138,116
자본총계,70,75,87,198,524
  자본총계(지배),70,75,87,198,524
  자본총계(비지배),,,,,
자본금,13,13,13,29,39
영업활동현금흐름,51,-17,35,55,28
투자활동현금흐름,-117,-22,-14,-42,-283
재무활동현금흐름,54,36,-7,21,237
CAPEX,117,25,14,16,64
FCF,-65,-42,22,38,-37
이자발생부채,109,144,139,109,68
영업이익률,21.69,6.10,14.83,30.77,21.76
순이익률,17.41,5.30,10.83,24.23,21.94
ROE(%),,6.46,17.66,29.25,11.88
ROA(%),,2.18,5.96,14.20,8.79
부채비율,185.38,204.97,188.55,69.71,22.08
자본유보율,448.44,485.02,581.17,582.32,"1,224.71"
EPS(원),86,18,56,144,137
PER(배),,,,,33.56
BPS(원),274,293,341,682,"1,331"
PBR(배),0.00,0.00,0.00,0.00,3.46
현금DPS(원),0,8,20,0,22
현금배당수익률,,,,,0.48
현금배당성향(%),0.00,42.85,35.04,0.00,20.20
발행주식수(보통주),"25,520,400","25,520,400","25,520,400","29,000,000","39,357,140"
