주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,265,294,358,304,251
영업이익,18,16,32,11,-11
영업이익(발표기준),18,16,32,11,-11
세전계속사업이익,18,17,32,-36,-11
당기순이익,13,15,27,-36,-9
  당기순이익(지배),13,15,27,-36,-9
  당기순이익(비지배),,,,,
자산총계,157,193,241,358,363
부채총계,68,65,59,56,69
자본총계,89,128,182,302,293
  자본총계(지배),89,128,182,302,293
  자본총계(비지배),,,,,
자본금,6,13,15,31,31
영업활동현금흐름,25,7,-43,2,42
투자활동현금흐름,-9,6,-20,42,3
재무활동현금흐름,4,16,34,35,0
CAPEX,8,1,0,1,0
FCF,,5,-43,2,42
이자발생부채,10,0,10,1,1
영업이익률,6.61,5.27,8.96,3.72,-4.46
순이익률,4.93,4.96,7.55,-11.88,-3.70
ROE(%),,13.43,17.41,-14.89,-3.13
ROA(%),,8.34,12.45,-12.04,-2.58
부채비율,76.41,50.32,32.54,18.44,23.63
자본유보율,"1,343.43",846.09,"1,076.06",860.41,830.82
EPS(원),56,59,98,-121,-30
PER(배),,,,N/A,N/A
BPS(원),379,497,620,971,940
PBR(배),,,,2.50,2.91
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"23,507,852","25,858,637","29,384,815","31,126,299","31,208,908"
