주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,558,508,760,502,240
영업이익,-277,-130,40,12,9
영업이익(발표기준),-277,-130,40,12,9
세전계속사업이익,-343,-191,-118,-120,-134
당기순이익,-315,-309,-118,-120,-134
  당기순이익(지배),-315,-309,-118,-120,-134
  당기순이익(비지배),,,,,
자산총계,"1,204",853,783,653,618
부채총계,513,476,497,323,252
자본총계,691,378,287,330,366
  자본총계(지배),691,378,287,330,366
  자본총계(비지배),,,,,
자본금,106,106,113,168,190
영업활동현금흐름,-66,-81,-5,93,-196
투자활동현금흐름,93,148,-18,3,63
재무활동현금흐름,-41,-33,-16,-85,117
CAPEX,1,6,0,0,0
FCF,-68,-87,-5,93,-196
이자발생부채,440,331,309,172,202
영업이익률,-49.60,-25.60,5.25,2.37,3.87
순이익률,-56.48,-60.84,-15.47,-23.85,-55.69
ROE(%),-38.47,-57.80,,-38.87,-38.42
ROA(%),-23.13,-30.04,,-16.68,-21.04
부채비율,74.13,125.88,173.38,97.95,68.80
자본유보율,570.66,288.86,175.95,111.68,61.38
EPS(원),"-1,484","-1,454",-533,-459,-376
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"3,388","1,851","1,313","1,009",986
PBR(배),1.23,1.08,1.25,1.80,1.84
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"21,257,151","21,257,151","22,674,524","33,571,393","37,946,235"
