주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,138,72,91,165,307
영업이익,71,29,37,100,162
영업이익(발표기준),71,29,37,100,162
세전계속사업이익,72,30,38,100,163
당기순이익,55,22,29,76,126
  당기순이익(지배),55,22,29,76,126
  당기순이익(비지배),,,,,
자산총계,513,694,742,873,"1,241"
부채총계,13,8,38,106,366
자본총계,500,686,704,767,875
  자본총계(지배),500,686,704,767,875
  자본총계(비지배),,,,,
자본금,375,474,474,474,479
영업활동현금흐름,-20,-24,57,-107,-137
투자활동현금흐름,55,-75,22,-72,-91
재무활동현금흐름,-19,162,-17,31,144
CAPEX,,,,,
FCF,,,,,
이자발생부채,0,0,0,0,0
영업이익률,51.83,40.62,41.37,60.45,52.88
순이익률,40.07,30.91,32.53,46.27,41.15
ROE(%),11.46,3.77,,10.37,15.39
ROA(%),11.26,3.70,,9.44,11.96
부채비율,2.67,1.19,5.42,13.77,41.86
자본유보율,33.16,45.07,48.88,62.19,84.89
EPS(원),734,277,311,804,"1,325"
PER(배),,15.03,14.73,9.02,7.70
BPS(원),"6,658","7,262","7,453","8,121","9,232"
PBR(배),0.00,0.57,0.61,0.89,1.10
현금DPS(원),0,150,150,150,150
현금배당수익률,,3.60,3.28,2.07,1.47
현금배당성향(%),0.00,63.38,48.13,18.58,11.25
발행주식수(보통주),"7,505,000","9,480,000","9,480,000","9,480,000","9,577,000"
