주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,591","4,536","3,235","3,600","4,008","4,890","5,188"
영업이익,330,401,182,182,249,426,483
영업이익(발표기준),330,401,182,182,249,,
세전계속사업이익,254,421,194,174,282,435,493
당기순이익,189,310,142,181,163,338,382
  당기순이익(지배),188,307,139,180,160,333,378
  당기순이익(비지배),1,3,2,1,3,,
자산총계,"3,379","4,024","3,814","4,426","5,335","5,707","6,361"
부채총계,"1,542","1,878","1,525","2,005","2,789","2,879","3,185"
자본총계,"1,837","2,146","2,288","2,421","2,546","2,828","3,176"
  자본총계(지배),"1,812","2,100","2,239","2,368","2,513","2,791","3,137"
  자본총계(비지배),25,,50,53,33,,
자본금,52,52,52,52,52,52,52
영업활동현금흐름,3,-85,66,355,311,270,404
투자활동현금흐름,-245,-34,86,-514,-125,-173,-94
재무활동현금흐름,90,195,-42,320,-48,153,194
CAPEX,178,121,128,519,187,110,80
FCF,-175,-206,-62,-163,125,145,298
이자발생부채,607,819,847,"1,205","1,226",,
영업이익률,9.20,8.84,5.62,5.06,6.22,8.71,9.31
순이익률,5.25,6.84,4.38,5.04,4.06,6.91,7.36
ROE(%),10.71,15.70,6.43,7.81,6.55,12.56,12.75
ROA(%),6.00,8.39,3.62,4.40,3.33,6.12,6.33
부채비율,83.93,87.49,66.66,82.80,109.56,101.80,100.28
자본유보율,"3,525.42","4,036.05","4,245.36","4,552.49","4,826.78",,
EPS(원),"1,806","2,957","1,343","1,733","1,540","3,207","3,640"
PER(배),9.33,3.86,10.13,16.67,15.23,8.11,7.14
BPS(원),"17,593","20,464","21,815","23,411","24,845","27,595","31,016"
PBR(배),0.96,0.56,0.62,1.23,0.94,0.94,0.84
현금DPS(원),200,300,200,200,100,150,150
현금배당수익률,1.19,2.63,1.47,0.69,0.43,0.58,0.58
현금배당성향(%),10.99,10.03,14.72,11.24,6.33,4.68,4.12
발행주식수(보통주),"10,384,000","10,384,000","10,384,000","10,384,000","10,384,000",,
