주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,548","2,439","2,861","3,413","9,390","9,405","9,949"
영업이익,68,117,150,147,793,812,891
영업이익(발표기준),68,117,150,147,793,,
세전계속사업이익,14,95,122,124,841,878,960
당기순이익,2,73,96,79,639,702,768
  당기순이익(지배),2,74,96,78,637,674,745
  당기순이익(비지배),,0,0,1,2,,
자산총계,586,663,875,"1,226","3,294","3,944","4,746"
부채총계,430,448,462,634,"2,077","2,043","2,096"
자본총계,155,215,413,592,"1,217","1,901","2,650"
  자본총계(지배),155,214,412,591,"1,215","1,896","2,643"
  자본총계(비지배),,,0,1,3,,
자본금,15,15,18,20,20,20,20
영업활동현금흐름,25,140,93,52,-70,863,865
투자활동현금흐름,-27,-35,-91,-113,-209,-100,-152
재무활동현금흐름,-21,-63,51,39,473,-55,-48
CAPEX,44,46,42,94,253,100,150
FCF,-19,94,51,-42,-323,720,668
이자발생부채,177,131,98,122,677,,
영업이익률,2.67,4.79,5.24,4.29,8.44,8.63,8.96
순이익률,0.07,3.00,3.34,2.33,6.80,7.46,7.72
ROE(%),,39.83,30.61,15.65,70.54,43.34,32.83
ROA(%),,11.72,12.43,7.55,28.25,19.40,17.68
부채비율,277.03,208.63,112.02,107.21,170.62,107.47,79.09
자본유보율,"1,074.86","1,477.54","2,355.67","3,086.55","6,282.44",,
EPS(원),12,491,630,438,"3,259","3,450","3,813"
PER(배),,,8.11,11.79,2.70,3.83,3.46
BPS(원),"1,035","1,428","2,441","3,144","6,465","10,042","13,999"
PBR(배),0.00,0.00,2.09,1.64,1.36,1.31,0.94
현금DPS(원),0,0,50,50,100,100,100
현금배당수익률,,,0.98,0.97,1.14,0.76,0.76
현금배당성향(%),833.02,20.11,8.81,11.97,2.95,2.90,2.62
발행주식수(보통주),"15,000,000","15,000,000","17,650,000","19,536,792","19,536,792",,
