주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,294,274,351,398,543,637,773
영업이익,-30,11,42,65,109,132,172
영업이익(발표기준),-30,11,42,65,109,,
세전계속사업이익,-16,10,38,78,121,145,186
당기순이익,-30,4,56,107,112,118,145
  당기순이익(지배),-24,4,56,107,112,118,145
  당기순이익(비지배),-5,0,,,,,
자산총계,447,463,534,707,838,973,"1,148"
부채총계,122,129,147,186,219,256,309
자본총계,325,335,387,520,619,717,839
  자본총계(지배),333,335,387,520,619,717,839
  자본총계(비지배),-8,,,,,,
자본금,34,34,34,34,34,34,34
영업활동현금흐름,20,9,82,63,115,141,171
투자활동현금흐름,-26,23,-17,-46,-115,-80,-110
재무활동현금흐름,-12,-2,-11,28,-13,-16,-19
CAPEX,15,3,2,32,11,40,50
FCF,5,6,80,30,104,69,80
이자발생부채,11,0,8,7,7,,
영업이익률,-10.31,4.11,11.82,16.36,20.14,20.72,22.25
순이익률,-10.08,1.33,16.01,26.80,20.55,18.52,18.76
ROE(%),-7.00,1.10,15.59,23.54,19.60,17.66,18.64
ROA(%),-6.40,0.81,11.28,17.21,14.46,13.03,13.67
부채비율,37.66,38.44,37.97,35.81,35.33,35.70,36.83
자본유보율,957.76,962.82,"1,115.04","1,457.02","1,755.59",,
EPS(원),-357,53,820,"1,557","1,629","1,721","2,115"
PER(배),N/A,82.85,9.99,8.77,10.84,7.84,6.38
BPS(원),"5,145","5,163","5,968","7,791","9,268","10,733","12,560"
PBR(배),1.16,0.85,1.37,1.75,1.90,1.26,1.07
현금DPS(원),0,0,100,150,250,300,350
현금배당수익률,0.00,0.00,1.22,1.10,1.42,2.22,2.59
현금배당성향(%),0.00,0.00,11.53,9.39,14.95,17.43,16.55
발행주식수(보통주),"6,856,330","6,856,330","6,856,330","6,856,330","6,856,330",,
