주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,463,637,590,526,595
영업이익,-16,2,-10,-55,-2
영업이익(발표기준),-16,2,-10,-55,-2
세전계속사업이익,42,-23,-8,27,-1
당기순이익,42,-23,-9,17,2
  당기순이익(지배),42,-23,-9,17,3
  당기순이익(비지배),,,,,-2
자산총계,503,411,408,418,488
부채총계,226,159,171,156,200
자본총계,277,252,237,262,288
  자본총계(지배),277,252,237,262,264
  자본총계(비지배),,,,,24
자본금,69,69,69,69,69
영업활동현금흐름,124,-64,47,-24,-83
투자활동현금흐름,66,57,10,34,150
재무활동현금흐름,-161,-14,-9,-8,-18
CAPEX,2,2,2,5,10
FCF,121,-66,45,-29,-92
이자발생부채,5,0,4,17,15
영업이익률,-3.56,0.31,-1.72,-10.50,-0.41
순이익률,9.03,-3.62,-1.51,3.25,0.26
ROE(%),16.38,-8.72,-3.64,6.84,
ROA(%),7.32,-5.05,-2.17,4.13,
부채비율,81.46,63.06,72.28,59.31,69.51
자본유보율,290.79,270.60,246.89,285.30,285.21
EPS(원),301,-166,-64,123,24
PER(배),7.04,N/A,N/A,23.26,141.08
BPS(원),"1,997","1,872","1,759","1,920","1,931"
PBR(배),1.06,1.23,1.71,1.49,1.73
현금DPS(원),0,0,0,30,
현금배당수익률,0.00,0.00,0.00,1.05,
현금배당성향(%),0.00,0.00,0.00,24.02,
발행주식수(보통주),"13,879,521","13,879,521","13,879,521","13,879,521","13,879,521"
