주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,298,228,214,196,217
영업이익,48,18,23,11,20
영업이익(발표기준),48,18,23,11,20
세전계속사업이익,44,25,32,22,38
당기순이익,38,23,28,22,34
  당기순이익(지배),38,23,28,22,34
  당기순이익(비지배),,,,,
자산총계,641,652,682,696,737
부채총계,88,75,86,75,82
자본총계,552,576,596,620,655
  자본총계(지배),552,576,596,620,655
  자본총계(비지배),,,,,
자본금,32,32,32,32,32
영업활동현금흐름,46,-10,45,34,31
투자활동현금흐름,-154,3,-40,-2,-27
재무활동현금흐름,19,,0,0,3
CAPEX,158,11,4,27,5
FCF,-112,-21,41,6,26
이자발생부채,24,24,24,24,26
영업이익률,16.06,7.99,10.63,5.56,9.08
순이익률,12.73,10.23,12.99,11.09,15.89
ROE(%),7.14,4.13,4.74,3.58,5.41
ROA(%),6.23,3.61,4.17,3.16,4.81
부채비율,16.00,13.09,14.48,12.15,12.57
자본유보율,"1,594.97","1,671.73","1,754.82","1,836.96","1,947.14"
EPS(원),585,359,428,335,531
PER(배),14.23,23.43,12.95,17.57,13.26
BPS(원),"8,502","8,869","9,172","9,551","10,084"
PBR(배),0.98,0.95,0.60,0.62,0.70
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,496,600","6,496,600","6,496,600","6,496,600","6,496,600"
