주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,956,743,754,757,807
영업이익,159,56,54,37,-24
영업이익(발표기준),159,56,54,37,-24
세전계속사업이익,173,83,81,57,-14
당기순이익,144,77,72,52,1
  당기순이익(지배),144,77,72,52,1
  당기순이익(비지배),,,,,
자산총계,"1,502","1,460","1,448","1,500","1,533"
부채총계,127,90,87,107,119
자본총계,"1,375","1,370","1,361","1,393","1,415"
  자본총계(지배),"1,375","1,370","1,361","1,393","1,415"
  자본총계(비지배),,,,,
자본금,82,82,82,82,82
영업활동현금흐름,319,102,162,94,45
투자활동현금흐름,-423,-175,-136,-53,-6
재무활동현금흐름,-30,-88,-78,-44,-5
CAPEX,15,17,277,56,60
FCF,304,85,-115,38,-15
이자발생부채,,0,,0,0
영업이익률,16.61,7.49,7.20,4.88,-2.96
순이익률,15.10,10.39,9.60,6.91,0.11
ROE(%),11.20,5.63,,3.80,0.06
ROA(%),10.29,5.22,,3.55,0.06
부채비율,9.24,6.55,6.39,7.69,8.39
자본유보율,"1,598.00","1,672.36","1,734.68","1,775.86","1,764.10"
EPS(원),925,495,464,335,6
PER(배),8.43,10.79,16.58,25.63,"3,561.40"
BPS(원),"8,811","9,240","9,696","10,236","10,291"
PBR(배),0.89,0.58,0.79,0.84,1.95
현금DPS(원),200,100,100,100,
현금배당수익률,2.56,1.87,1.30,1.16,
현금배당성향(%),21.62,19.19,19.39,26.01,
발행주식수(보통주),"15,607,500","15,607,500","15,607,500","15,607,500","15,607,500"
