주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,369,646,"1,254",374,600
영업이익,35,49,120,-37,2
영업이익(발표기준),35,49,120,-37,2
세전계속사업이익,28,42,149,136,-84
당기순이익,28,32,113,93,-76
  당기순이익(지배),28,32,113,93,-74
  당기순이익(비지배),,,,,-2
자산총계,256,402,546,"1,049","1,093"
부채총계,25,66,81,75,231
자본총계,231,336,464,974,862
  자본총계(지배),231,336,464,969,859
  자본총계(비지배),,,,5,3
자본금,27,33,33,186,186
영업활동현금흐름,33,-40,127,-69,-224
투자활동현금흐름,-36,-65,-114,-255,71
재무활동현금흐름,,110,-7,399,81
CAPEX,2,21,6,13,11
FCF,31,-61,121,-82,-235
이자발생부채,0,5,4,3,129
영업이익률,9.52,7.59,9.54,-9.91,0.27
순이익률,7.61,5.02,9.04,24.89,-12.72
ROE(%),12.91,11.44,28.33,,-8.08
ROA(%),11.85,9.85,23.91,,-7.13
부채비율,10.78,19.76,17.52,7.66,26.76
자본유보율,755.06,904.76,"1,243.82",405.86,346.10
EPS(원),163,167,339,265,-199
PER(배),,,,49.41,N/A
BPS(원),"1,346","1,005","1,389","2,609","2,314"
PBR(배),0.00,0.00,0.00,5.02,3.11
현금DPS(원),0,0,0,100,
현금배당수익률,,,,0.76,
현금배당성향(%),0.00,0.00,0.00,39.96,
발행주식수(보통주),"14,733,300","33,427,220","33,427,220","37,141,356","37,141,356"
