주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,156,85,290,413,400
영업이익,2,-44,-23,4,-38
영업이익(발표기준),2,-44,-23,4,-38
세전계속사업이익,7,-63,-26,-91,-52
당기순이익,-19,-62,-32,-91,-52
  당기순이익(지배),-19,-62,-32,-91,-52
  당기순이익(비지배),,,,,
자산총계,531,470,"1,049","1,119","1,460"
부채총계,44,24,395,398,764
자본총계,487,446,654,720,697
  자본총계(지배),487,446,654,720,697
  자본총계(비지배),,,,,
자본금,363,480,699,949,"1,056"
영업활동현금흐름,9,-12,-107,27,-24
투자활동현금흐름,52,-393,-359,-321,-415
재무활동현금흐름,0,149,596,227,466
CAPEX,0,0,1,8,4
FCF,9,-12,-107,19,-27
이자발생부채,0,0,316,228,583
영업이익률,1.38,-52.34,-8.06,1.09,-9.52
순이익률,-11.97,-73.59,-10.90,-22.11,-13.02
ROE(%),-3.76,-13.36,,-13.31,-7.35
ROA(%),-3.36,-12.45,,-8.44,-4.04
부채비율,9.00,5.39,60.44,55.30,109.58
자본유보율,34.12,19.51,18.01,1.57,-1.85
EPS(원),-10,-29,-11,-26,-10
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),269,186,187,152,132
PBR(배),1.09,0.98,1.41,1.84,3.42
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"181,355,876","239,949,626","349,598,748","474,598,748","527,923,748"
