주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,692,753,804,824,794
영업이익,-21,19,-8,71,77
영업이익(발표기준),-21,19,-8,71,77
세전계속사업이익,-15,21,26,73,79
당기순이익,-32,11,8,49,66
  당기순이익(지배),-28,11,4,49,66
  당기순이익(비지배),-4,0,4,0,
자산총계,923,"1,007","1,083","1,131","1,146"
부채총계,352,435,510,513,480
자본총계,572,572,573,619,666
  자본총계(지배),581,581,574,619,666
  자본총계(비지배),-9,,0,0,
자본금,112,112,115,117,117
영업활동현금흐름,76,150,97,160,179
투자활동현금흐름,84,-118,-55,54,-129
재무활동현금흐름,-21,-11,-86,-78,-90
CAPEX,37,22,15,22,21
FCF,39,128,82,139,158
이자발생부채,0,0,92,95,75
영업이익률,-3.06,2.51,-1.05,8.63,9.68
순이익률,-4.70,1.50,1.00,5.93,8.37
ROE(%),-4.65,1.91,0.72,8.21,10.35
ROA(%),-3.53,1.17,0.77,4.41,5.84
부채비율,61.51,76.00,88.95,82.88,72.04
자본유보율,425.33,431.78,408.46,443.49,483.57
EPS(원),-126,50,18,211,284
PER(배),N/A,47.78,177.22,19.34,15.84
BPS(원),"2,761","2,760","2,635","2,804","3,017"
PBR(배),0.96,0.86,1.23,1.45,1.49
현금DPS(원),50,50,50,100,150
현금배당수익률,1.89,2.11,1.54,2.45,3.33
현금배당성향(%),-37.35,94.79,263.34,45.07,49.79
발행주식수(보통주),"22,368,593","22,368,593","23,097,077","23,407,077","23,407,077"
