주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,131,147,198,201,276
영업이익,2,-6,23,12,26
영업이익(발표기준),2,-6,23,12,26
세전계속사업이익,-5,-12,-22,11,20
당기순이익,-5,-12,-24,11,29
  당기순이익(지배),-5,-12,-24,11,27
  당기순이익(비지배),,,,,2
자산총계,155,144,196,389,733
부채총계,50,51,71,79,311
자본총계,105,93,125,310,422
  자본총계(지배),105,93,125,310,414
  자본총계(비지배),,,,,8
자본금,12,12,32,39,41
영업활동현금흐름,-3,5,22,-2,8
투자활동현금흐름,-7,8,-5,-156,-33
재무활동현금흐름,5,-4,-10,172,251
CAPEX,10,1,3,81,39
FCF,-13,4,19,-84,-32
이자발생부채,22,18,13,15,225
영업이익률,1.55,-4.14,11.83,5.84,9.57
순이익률,-3.45,-8.27,-12.16,5.47,10.42
ROE(%),-4.53,-12.28,-22.16,5.06,
ROA(%),-3.03,-8.12,-14.17,3.76,
부채비율,47.73,55.36,57.17,25.39,73.69
자본유보율,777.23,675.74,289.92,697.83,902.50
EPS(원),-116,-307,-534,162,312
PER(배),,,,152.33,52.70
BPS(원),"2,650","2,343","1,950","3,989","4,684"
PBR(배),0.00,0.00,0.00,6.20,3.51
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,151,440","3,151,440","6,397,284","7,770,644","8,251,244"
