주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,888,"1,055","1,174","1,557","1,901","2,463","3,032","3,408"
영업이익,114,220,234,358,403,522,673,792
영업이익(발표기준),114,220,234,358,403,,,
세전계속사업이익,84,209,234,260,426,541,730,847
당기순이익,69,175,194,218,334,434,606,701
  당기순이익(지배),69,176,195,218,335,430,548,637
  당기순이익(비지배),0,0,-1,0,0,,,
자산총계,"1,098","1,318","1,497","1,703","2,119","2,593","3,317","3,995"
부채총계,566,608,602,615,685,713,849,846
자본총계,532,710,895,"1,088","1,434","1,880","2,468","3,149"
  자본총계(지배),533,711,897,"1,090","1,436","1,883","2,471","3,152"
  자본총계(비지배),-1,,-2,-2,-2,,,
자본금,83,83,83,83,83,83,83,83
영업활동현금흐름,134,122,280,246,262,391,511,725
투자활동현금흐름,-3,-39,-64,-42,-242,-322,-202,-1
재무활동현금흐름,-86,-23,-46,-16,-28,-50,46,-48
CAPEX,34,63,65,49,241,320,200,0
FCF,100,58,215,197,21,68,308,720
이자발생부채,445,472,462,449,466,,,
영업이익률,12.80,20.80,19.93,22.99,21.20,21.21,22.20,23.22
순이익률,7.78,16.60,16.54,13.99,17.59,17.62,19.99,20.57
ROE(%),13.94,28.23,24.22,21.96,26.48,25.89,25.17,22.66
ROA(%),6.15,14.51,13.80,13.62,17.50,18.42,20.51,19.17
부채비율,106.40,85.59,67.26,56.54,47.74,37.93,34.40,26.87
자본유보율,585.91,790.66,"1,009.54","1,269.62","1,652.73",,,
EPS(원),426,"1,064","1,180","1,321","2,026","2,602","3,319","3,858"
PER(배),14.92,4.61,7.02,13.32,14.14,9.65,7.56,6.51
BPS(원),"3,228","4,308","5,433","6,600","8,700","11,405","14,966","19,090"
PBR(배),1.97,1.14,1.52,2.67,3.29,2.20,1.68,1.31
현금DPS(원),40,50,50,70,60,83,109,126
현금배당수익률,0.63,1.02,0.60,0.40,0.21,0.33,0.43,0.50
현금배당성향(%),9.50,4.70,4.24,5.30,2.96,3.19,3.28,3.27
발행주식수(보통주),"16,510,993","16,510,993","16,510,993","16,510,993","16,510,993",,,
