주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,685,687,666,621,778
영업이익,147,124,139,144,166
영업이익(발표기준),147,124,139,144,166
세전계속사업이익,125,158,186,161,233
당기순이익,95,122,143,122,199
  당기순이익(지배),95,122,143,122,198
  당기순이익(비지배),,,,0,2
자산총계,"1,391","1,425","1,538","1,630","1,998"
부채총계,198,141,133,136,177
자본총계,"1,193","1,284","1,405","1,495","1,821"
  자본총계(지배),"1,193","1,284","1,405","1,494","1,816"
  자본총계(비지배),,,,1,5
자본금,45,45,45,45,45
영업활동현금흐름,117,127,156,118,33
투자활동현금흐름,-63,-39,-59,7,-330
재무활동현금흐름,-33,-93,-31,-38,139
CAPEX,25,57,25,20,85
FCF,91,70,131,97,-52
이자발생부채,96,31,26,22,41
영업이익률,21.52,18.06,20.87,23.11,21.36
순이익률,13.88,17.81,21.47,19.60,25.63
ROE(%),8.20,9.88,10.64,8.39,11.96
ROA(%),6.89,8.69,9.65,7.68,10.99
부채비율,16.59,11.00,9.47,9.07,9.73
자본유보율,"2,558.08","2,796.47","3,089.93","3,322.79","3,878.40"
EPS(원),"1,050","1,353","1,581","1,344","2,187"
PER(배),9.29,5.62,5.41,6.63,5.08
BPS(원),"13,414","14,788","16,498","18,031","20,212"
PBR(배),0.73,0.51,0.52,0.49,0.55
현금DPS(원),130,140,200,200,200
현금배당수익률,1.33,1.84,2.34,2.24,1.80
현금배당성향(%),12.17,9.94,11.94,13.63,9.08
발행주식수(보통주),"9,048,000","9,048,000","9,048,000","9,048,000","9,048,000"
