주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,005","1,316","1,596","2,589","3,786","5,461","7,982","10,970"
영업이익,9,12,-1,100,67,85,155,270
영업이익(발표기준),9,12,-1,100,67,,,
세전계속사업이익,-10,10,-13,116,22,40,110,230
당기순이익,-14,10,-15,97,80,70,130,240
  당기순이익(지배),-12,9,-16,77,68,50,100,180
  당기순이익(비지배),-2,0,1,20,12,,,
자산총계,269,284,431,"1,070","2,290","2,970","3,780","4,670"
부채총계,194,191,336,842,"1,228","1,840","2,510","3,140"
자본총계,75,93,95,228,"1,062","1,130","1,270","1,530"
  자본총계(지배),67,82,83,193,758,810,910,"1,090"
  자본총계(비지배),8,11,12,36,303,,,
자본금,68,71,73,73,73,70,70,70
영업활동현금흐름,-1,36,89,255,177,130,210,300
투자활동현금흐름,-16,-34,-20,-92,-208,-200,-120,-80
재무활동현금흐름,18,-13,-51,323,685,690,690,690
CAPEX,16,13,18,29,45,,,
FCF,-17,23,71,226,132,90,220,340
이자발생부채,36,16,114,416,747,,,
영업이익률,0.89,0.89,-0.08,3.86,1.76,1.56,1.94,2.46
순이익률,-1.39,0.74,-0.93,3.76,2.11,1.28,1.63,2.19
ROE(%),-18.82,12.42,-19.38,55.83,14.35,6.38,11.63,18.00
ROA(%),-5.03,3.52,-4.14,12.96,4.76,2.66,3.85,5.68
부채비율,258.92,206.78,353.86,368.57,115.71,162.83,197.64,205.23
자본유보율,18.64,34.78,32.64,182.76,958.83,,,
EPS(원),-95,67,-110,529,468,325,646,"1,163"
PER(배),N/A,48.06,N/A,26.67,40.59,48.64,24.45,13.58
BPS(원),495,579,572,"1,322","5,203","5,234","5,881","7,044"
PBR(배),4.64,5.57,7.35,10.66,3.65,3.02,2.69,2.24
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"13,610,573","14,121,555","14,574,555","14,574,555","14,574,555",,,
