주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,122,155,184,217,268
영업이익,6,2,0,4,-39
영업이익(발표기준),6,2,0,4,-39
세전계속사업이익,3,0,7,4,-51
당기순이익,2,1,8,5,-51
  당기순이익(지배),2,1,9,5,-51
  당기순이익(비지배),0,0,0,0,0
자산총계,156,422,427,643,801
부채총계,158,153,40,61,258
자본총계,-1,269,388,582,543
  자본총계(지배),-2,268,387,582,531
  자본총계(비지배),1,1,0,0,12
자본금,9,17,21,25,51
영업활동현금흐름,11,-25,16,36,-20
투자활동현금흐름,-8,-210,-70,-151,-213
재무활동현금흐름,77,244,-9,180,206
CAPEX,0,1,1,9,5
FCF,11,-27,15,27,-25
이자발생부채,125,102,6,7,119
영업이익률,5.21,1.26,0.14,1.64,-14.49
순이익률,1.47,0.34,4.50,2.37,-19.13
ROE(%),,0.58,2.63,1.12,-9.13
ROA(%),,0.18,1.94,0.96,-7.09
부채비율,"-12,582.91",56.99,10.23,10.46,47.46
자본유보율,-155.75,"1,432.20","1,691.21","2,177.95",932.41
EPS(원),40,12,112,58,-499
PER(배),,,,295.77,N/A
BPS(원),-47,"3,488","4,550","5,724","5,202"
PBR(배),0.00,0.00,0.00,3.01,3.17
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,732,600","6,878,458","8,514,030","10,161,830","10,201,330"
