주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,139,140,137,130,143
영업이익,-16,-7,-12,-35,-45
영업이익(발표기준),-16,-7,-12,-35,-45
세전계속사업이익,-16,-6,-7,-24,-31
당기순이익,-16,-6,-7,-24,-31
  당기순이익(지배),-16,-6,-7,-24,-31
  당기순이익(비지배),,,,,
자산총계,198,426,417,413,412
부채총계,71,72,61,75,102
자본총계,128,354,356,338,310
  자본총계(지배),128,354,356,338,310
  자본총계(비지배),,,,,
자본금,59,71,72,72,73
영업활동현금흐름,3,12,4,-16,-20
투자활동현금흐름,-7,-3,-60,-40,-74
재무활동현금흐름,-4,220,-6,11,18
CAPEX,7,2,6,9,7
FCF,-4,10,-2,-25,-27
이자발생부채,48,44,36,45,60
영업이익률,-11.77,-4.99,-8.72,-26.47,-31.59
순이익률,-11.31,-4.33,-4.80,-18.03,-21.60
ROE(%),-11.92,-2.51,-1.85,-6.78,-9.52
ROA(%),-7.75,-1.93,-1.55,-5.67,-7.47
부채비율,55.17,20.30,17.16,22.32,32.99
자본유보율,94.36,366.89,363.36,334.68,294.28
EPS(원),-132,-48,-46,-163,-212
PER(배),,N/A,N/A,N/A,N/A
BPS(원),"1,080","2,493","2,477","2,334","2,122"
PBR(배),0.00,3.69,3.65,6.51,4.44
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,839,081","14,217,258","14,377,758","14,474,458","14,589,458"
