주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,5,4,3,12,51
영업이익,-20,-26,-103,-124,-99
영업이익(발표기준),-20,-26,-103,-124,-99
세전계속사업이익,-21,-25,-103,-117,-114
당기순이익,-21,-25,-103,-117,-114
  당기순이익(지배),-21,-25,-102,-118,-114
  당기순이익(비지배),,,-1,1,
자산총계,104,140,"1,137","1,179","1,772"
부채총계,21,29,49,226,620
자본총계,83,111,"1,088",953,"1,151"
  자본총계(지배),83,111,"1,089",953,"1,151"
  자본총계(비지배),,,-1,,
자본금,39,80,100,100,106
영업활동현금흐름,-18,-21,-88,-102,-76
투자활동현금흐름,-26,-2,-595,143,-491
재무활동현금흐름,70,58,"1,038",130,629
CAPEX,3,27,22,27,110
FCF,-22,-48,-110,-129,-186
이자발생부채,5,9,12,115,384
영업이익률,-442.36,-665.15,"-3,660.22","-1,001.62",-191.75
순이익률,-465.87,-642.07,"-3,645.77",-946.30,-222.28
ROE(%),-35.83,-25.64,,-11.55,-10.86
ROA(%),-26.60,-20.41,,-10.12,-7.74
부채비율,25.19,25.88,4.51,23.77,53.91
자본유보율,113.84,39.01,982.39,862.68,969.11
EPS(원),-148,-158,-533,-590,-553
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),535,695,"5,450","4,766","5,454"
PBR(배),13.09,39.64,4.30,3.07,2.44
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,518,118","15,949,178","19,986,215","19,986,215","20,327,512"
