주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,308","1,195","1,341","1,493","1,666"
영업이익,131,200,207,246,267
영업이익(발표기준),131,200,207,246,267
세전계속사업이익,5,77,198,-127,236
당기순이익,-206,25,152,-101,157
  당기순이익(지배),-206,25,152,-101,157
  당기순이익(비지배),,,,,
자산총계,"1,218","1,087","1,279","1,327","1,576"
부채총계,701,657,668,735,752
자본총계,517,431,611,592,825
  자본총계(지배),517,431,611,592,825
  자본총계(비지배),,,,,
자본금,72,72,72,72,72
영업활동현금흐름,-31,205,229,135,166
투자활동현금흐름,-95,-118,-91,-168,-139
재무활동현금흐름,92,-51,-46,14,-27
CAPEX,13,19,93,95,106
FCF,-44,186,136,41,60
이자발생부채,450,400,369,392,369
영업이익률,10.02,16.75,15.43,16.49,16.03
순이익률,-15.73,2.05,11.36,-6.78,9.42
ROE(%),-33.49,5.18,29.27,-16.82,22.15
ROA(%),-16.30,2.13,12.88,-7.77,10.81
부채비율,135.53,152.41,109.45,124.06,91.16
자본유보율,583.86,596.83,798.25,747.07,956.66
EPS(원),"-1,434",171,"1,062",-705,"1,093"
PER(배),N/A,59.07,9.80,N/A,9.97
BPS(원),"3,685","3,069","4,351","4,221","5,876"
PBR(배),3.69,3.29,2.39,2.99,1.86
현금DPS(원),0,0,0,0,80
현금배당수익률,0.00,0.00,0.00,0.00,0.73
현금배당성향(%),0.00,0.00,0.00,0.00,7.15
발행주식수(보통주),"14,354,920","14,354,920","14,354,920","14,354,920","14,354,920"
