주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"16,144","25,253","32,620","50,939","65,801"
영업이익,"3,536","3,616","5,590","10,553","13,155"
영업이익(발표기준),"3,536","3,616","5,590","10,553","13,155"
세전계속사업이익,"3,470","3,496","5,463","10,324","13,252"
당기순이익,"2,358","2,329","4,088","6,580","9,018"
  당기순이익(지배),358,331,682,961,"1,470"
  당기순이익(비지배),"2,000","1,998","3,406","5,619","7,548"
자산총계,"135,618","197,707","252,148","389,976","470,015"
부채총계,"114,865","171,936","224,379","356,794","421,341"
자본총계,"20,754","25,771","27,769","33,182","48,674"
  자본총계(지배),"4,729","4,354","6,084","7,494","9,212"
  자본총계(비지배),"16,025","21,417","21,685","25,688","39,461"
자본금,192,192,192,192,192
영업활동현금흐름,"-8,401","-14,177","-29,145","-13,230","-34,216"
투자활동현금흐름,"-2,892","-8,120","-4,001",192,"-3,885"
재무활동현금흐름,"11,755","25,144","31,609","22,058","39,779"
CAPEX,131,328,804,310,326
FCF,"-8,532","-14,505","-29,950","-13,540","-34,542"
이자발생부채,"47,146","102,742","140,501","160,372","203,617"
영업이익률,21.90,14.32,17.14,20.72,19.99
순이익률,14.61,9.22,12.53,12.92,13.71
ROE(%),7.90,7.28,13.08,14.16,17.60
ROA(%),1.99,1.40,1.82,2.05,2.10
부채비율,553.47,667.16,808.00,"1,075.28",865.64
자본유보율,"2,371.81","2,601.66","2,901.80","3,384.95","4,317.03"
EPS(원),935,863,"1,782","2,510","3,838"
PER(배),11.02,10.95,4.66,5.10,3.93
BPS(원),"12,347","11,368","15,886","19,566","24,053"
PBR(배),0.83,0.83,0.52,0.65,0.63
현금DPS(원),130,160,180,250,300
현금배당수익률,1.26,1.69,2.17,1.95,1.99
현금배당성향(%),13.90,18.54,10.10,9.96,7.82
발행주식수(보통주),"38,300,000","38,300,000","38,300,000","38,300,000","38,300,000"
