주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,40,47,42,42,44
영업이익,5,8,7,7,7
영업이익(발표기준),5,8,7,7,7
세전계속사업이익,4,2,2,3,4
당기순이익,4,2,2,3,7
  당기순이익(지배),4,2,2,3,7
  당기순이익(비지배),,,,,
자산총계,321,319,322,324,328
부채총계,180,176,177,176,174
자본총계,141,142,145,148,154
  자본총계(지배),141,142,145,148,154
  자본총계(비지배),,,,,
자본금,24,24,24,24,24
영업활동현금흐름,11,10,10,13,4
투자활동현금흐름,3,0,0,0,1
재무활동현금흐름,-13,-10,-9,-5,-5
CAPEX,,0,0,,1
FCF,11,10,10,13,3
이자발생부채,160,158,160,159,158
영업이익률,13.45,16.11,17.51,16.41,15.37
순이익률,10.23,3.64,5.44,8.32,15.41
ROE(%),2.94,1.21,1.59,2.38,4.44
ROA(%),1.26,0.53,0.71,1.08,2.05
부채비율,127.98,123.62,122.49,118.66,113.28
자본유보율,480.37,486.79,495.43,510.18,534.42
EPS(원),17,7,9,14,28
PER(배),153.24,306.13,213.43,146.58,81.68
BPS(원),580,587,595,610,634
PBR(배),4.45,3.68,3.36,3.44,3.55
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"24,277,540","24,277,540","24,277,540","24,277,540","24,277,540"
