주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,971","1,963","1,973","2,122","2,359"
영업이익,130,56,84,157,76
영업이익(발표기준),130,56,84,157,76
세전계속사업이익,122,52,77,154,94
당기순이익,96,36,54,120,76
  당기순이익(지배),96,36,54,120,76
  당기순이익(비지배),,,,,
자산총계,"1,544","1,510","1,575","1,692","1,752"
부채총계,543,474,506,529,532
자본총계,"1,001","1,036","1,069","1,163","1,220"
  자본총계(지배),"1,001","1,036","1,069","1,163","1,220"
  자본총계(비지배),,,,,
자본금,80,80,80,80,80
영업활동현금흐름,157,52,195,181,-12
투자활동현금흐름,-104,-71,-72,-58,-91
재무활동현금흐름,-103,-36,-12,-52,-38
CAPEX,108,70,79,57,106
FCF,49,-18,116,124,-118
이자발생부채,166,150,157,125,114
영업이익률,6.59,2.86,4.24,7.42,3.23
순이익률,4.88,1.85,2.72,5.68,3.22
ROE(%),9.95,3.56,5.10,10.79,6.38
ROA(%),6.35,2.38,3.48,7.37,4.42
부채비율,54.29,45.71,47.39,45.43,43.59
자본유보율,"1,162.76","1,207.32","1,246.90","1,368.09","1,432.89"
EPS(원),605,228,337,757,478
PER(배),10.96,21.58,12.48,6.23,10.75
BPS(원),"6,292","6,517","6,719","7,316","7,671"
PBR(배),1.05,0.76,0.63,0.65,0.67
현금DPS(원),100,80,100,150,100
현금배당수익률,1.51,1.62,2.38,3.18,1.95
현금배당성향(%),16.54,35.05,29.65,19.80,20.91
발행주식수(보통주),"15,903,199","15,903,199","15,903,199","15,903,199","15,903,199"
