주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,322,"1,103","2,258","2,924","3,221"
영업이익,-4,121,122,135,114
영업이익(발표기준),-4,121,122,135,114
세전계속사업이익,0,86,82,25,126
당기순이익,2,85,80,28,150
  당기순이익(지배),2,85,80,33,151
  당기순이익(비지배),,,,-4,-2
자산총계,491,768,"1,102","2,203","2,342"
부채총계,105,280,544,718,699
자본총계,386,489,557,"1,485","1,643"
  자본총계(지배),386,489,557,"1,464","1,624"
  자본총계(비지배),,,,20,20
자본금,45,46,46,66,67
영업활동현금흐름,30,-84,179,121,15
투자활동현금흐름,-1,50,-98,-982,40
재무활동현금흐름,0,78,164,958,-49
CAPEX,3,5,2,450,15
FCF,26,-89,177,-329,-1
이자발생부채,31,98,212,452,420
영업이익률,-1.14,10.97,5.38,4.61,3.54
순이익률,0.53,7.67,3.55,0.97,4.64
ROE(%),0.46,,15.31,3.23,9.79
ROA(%),0.35,,8.56,1.72,6.58
부채비율,27.17,57.30,97.69,48.39,42.52
자본유보율,792.71,990.41,"1,144.51","2,125.64","2,349.34"
EPS(원),19,827,778,285,"1,135"
PER(배),489.07,10.85,21.97,106.66,21.24
BPS(원),"3,907","4,813","5,494","11,141","12,300"
PBR(배),2.33,1.87,3.11,2.73,1.96
현금DPS(원),0,90,0,70,70
현금배당수익률,0.00,1.00,0.00,0.23,0.29
현금배당성향(%),0.00,10.78,0.00,28.16,6.11
발행주식수(보통주),"10,000,479","10,276,223","10,285,946","13,274,598","13,329,832"
