주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"4,648","4,371","4,488","4,931","7,375","9,552","10,506"
영업이익,182,130,116,134,350,522,624
영업이익(발표기준),179,127,102,148,439,,
세전계속사업이익,169,56,78,107,426,,
당기순이익,124,40,53,89,327,,
  당기순이익(지배),123,40,59,87,245,394,476
  당기순이익(비지배),1,0,-6,2,82,,
자산총계,"3,345","3,304","3,487","4,115","5,172",,
부채총계,"2,164","2,096","2,149","2,494","3,217",,
자본총계,"1,181","1,208","1,338","1,621","1,955",,
  자본총계(지배),"1,168","1,169","1,282","1,440","1,509",,
  자본총계(비지배),13,,56,181,446,,
자본금,110,110,121,137,137,,
영업활동현금흐름,243,183,64,64,170,,
투자활동현금흐름,-86,-209,-150,-122,-117,,
재무활동현금흐름,-176,-48,171,174,-49,,
CAPEX,87,166,156,144,303,,
FCF,155,17,-91,-80,-133,,
이자발생부채,"1,172","1,159","1,220","1,363","1,608",,
영업이익률,3.92,2.98,2.57,2.71,4.75,5.46,5.94
순이익률,2.66,0.92,1.18,1.80,4.43,,
ROE(%),11.32,3.43,4.80,6.37,16.62,,
ROA(%),3.68,1.21,1.56,2.34,7.04,,
부채비율,183.22,173.42,160.59,153.82,164.50,,
자본유보율,988.99,"1,005.73",990.50,985.71,"1,010.89",,
EPS(원),581,182,252,344,892,"1,434","1,732"
PER(배),9.74,18.70,13.89,30.78,18.61,8.55,7.07
BPS(원),"5,302","5,447","5,444","5,336","5,594",,
PBR(배),1.07,0.62,0.64,1.99,2.97,,
현금DPS(원),70,50,80,100,120,,
현금배당수익률,1.24,1.47,2.29,0.94,0.72,,
현금배당성향(%),12.58,26.90,32.06,31.13,13.21,,
발행주식수(보통주),"22,088,547","22,088,547","24,177,101","27,483,948","27,483,948",,
