주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"25,044","28,281","30,551","24,785","22,914","24,761","26,643","28,655"
영업이익,439,507,581,-35,556,838,959,"1,067"
영업이익(발표기준),439,507,581,-35,556,,,
세전계속사업이익,12,268,163,-485,314,598,723,855
당기순이익,12,167,96,-425,311,472,557,658
  당기순이익(지배),-15,137,51,-393,267,454,536,638
  당기순이익(비지배),27,30,44,-33,45,,,
자산총계,"9,026","9,173","11,817","11,228","12,165","12,817","14,138","13,629"
부채총계,"6,672","6,645","8,925","8,365","8,738","9,026","9,829","8,698"
자본총계,"2,355","2,529","2,891","2,862","3,426","3,790","4,309","4,931"
  자본총계(지배),"1,802","1,958","2,014","1,880","2,459","2,783","3,267","3,805"
  자본총계(비지배),552,,877,982,967,,,
자본금,119,119,119,119,119,120,120,120
영업활동현금흐름,234,577,786,"1,263","1,406",823,"1,339","1,293"
투자활동현금흐름,-335,-519,-517,-528,-342,-709,-747,-503
재무활동현금흐름,533,-346,-318,-86,-394,-102,-418,-345
CAPEX,268,366,373,419,164,428,436,442
FCF,-34,211,414,844,"1,242",22,538,658
이자발생부채,"2,967","2,758","4,595","4,564","4,517",,,
영업이익률,1.75,1.79,1.90,-0.14,2.43,3.39,3.60,3.72
순이익률,0.05,0.59,0.31,-1.71,1.36,1.90,2.09,2.30
ROE(%),-0.83,7.29,2.59,-20.16,12.28,17.31,17.70,18.05
ROA(%),0.14,1.84,0.91,-3.69,2.66,3.77,4.13,4.74
부채비율,283.32,262.78,308.69,292.26,255.04,238.15,228.11,176.42
자본유보율,"1,060.98","1,077.32","1,045.92",678.35,793.17,,,
EPS(원),-129,"1,154",434,"-3,307","2,245","3,823","4,511","5,378"
PER(배),N/A,22.96,66.06,N/A,12.81,10.84,9.19,7.71
BPS(원),"15,181","16,496","16,967","15,839","20,715","23,444","27,521","32,049"
PBR(배),2.62,1.61,1.69,1.20,1.39,1.77,1.51,1.29
현금DPS(원),200,200,250,0,300,292,300,290
현금배당수익률,0.50,0.75,0.87,0.00,1.04,0.70,0.72,0.70
현금배당성향(%),-154.62,17.32,57.64,0.00,13.36,7.63,6.65,5.39
발행주식수(보통주),"11,871,586","11,871,586","11,871,586","11,871,586","11,871,586",,,
