주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,277,260,387,419,597
영업이익,-38,-63,31,-10,56
영업이익(발표기준),-38,-63,31,-10,56
세전계속사업이익,-58,-79,31,-11,53
당기순이익,-66,-80,31,-11,52
  당기순이익(지배),-66,-80,31,-11,52
  당기순이익(비지배),,,,,0
자산총계,444,469,488,543,679
부채총계,229,322,314,382,403
자본총계,216,147,174,161,276
  자본총계(지배),216,147,174,161,276
  자본총계(비지배),,,,,0
자본금,44,44,44,44,44
영업활동현금흐름,-17,-37,53,-43,44
투자활동현금흐름,23,15,-6,-5,-14
재무활동현금흐름,-6,19,-27,44,-11
CAPEX,4,2,4,3,8
FCF,-21,-39,49,-46,36
이자발생부채,167,189,168,219,217
영업이익률,-13.86,-24.41,8.05,-2.49,9.43
순이익률,-23.74,-30.73,7.97,-2.52,8.78
ROE(%),-26.43,-44.07,19.24,-6.32,
ROA(%),-13.91,-17.51,6.45,-2.05,
부채비율,105.83,219.31,180.89,237.18,146.16
자본유보율,325.31,115.31,176.46,147.95,260.18
EPS(원),-749,-912,352,-121,598
PER(배),N/A,N/A,8.65,N/A,14.59
BPS(원),"2,463","1,674","1,980","1,838","3,143"
PBR(배),1.30,1.02,1.54,2.21,2.77
현금DPS(원),0,0,50,0,
현금배당수익률,0.00,0.00,1.64,0.00,
현금배당성향(%),0.00,0.00,14.22,0.00,
발행주식수(보통주),"8,769,174","8,769,174","8,769,174","8,769,174","8,769,174"
