주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,114,193,162,182,378,510,770,946
영업이익,11,46,11,-6,0,52,105,151
영업이익(발표기준),11,46,11,-6,0,,,
세전계속사업이익,10,43,11,-9,-1,66,118,168
당기순이익,9,37,12,-2,-4,63,110,157
  당기순이익(지배),9,37,12,-6,-9,55,107,154
  당기순이익(비지배),,,,4,5,,,
자산총계,117,178,298,586,713,821,977,"1,218"
부채총계,48,47,41,262,291,337,383,467
자본총계,69,131,257,324,422,484,594,751
  자본총계(지배),69,131,257,292,349,404,511,666
  자본총계(비지배),,,,32,73,,,
자본금,2,12,17,18,40,40,40,40
영업활동현금흐름,17,17,1,-3,40,157,168,211
투자활동현금흐름,-4,-17,-10,-84,-186,-99,-84,-92
재무활동현금흐름,-4,24,114,119,88,-2,-3,2
CAPEX,4,16,10,53,46,21,25,0
FCF,13,1,-9,-56,-6,118,129,190
이자발생부채,26,25,27,121,126,,,
영업이익률,10.04,23.89,6.97,-3.43,-0.07,10.20,13.64,15.96
순이익률,7.84,19.42,7.39,-1.28,-0.98,12.35,14.29,16.60
ROE(%),,37.36,6.17,,-2.81,14.61,23.39,26.17
ROA(%),,25.38,5.04,,-0.57,8.21,12.24,14.31
부채비율,68.99,35.73,15.79,80.86,69.06,69.63,64.48,62.18
자본유보율,"3,361.29",970.83,"1,377.71","1,513.76",761.46,,,
EPS(원),199,794,226,-85,-119,680,"1,321","1,902"
PER(배),,,62.06,N/A,N/A,18.52,9.54,6.63
BPS(원),"1,536","2,686","3,707","4,056","4,337","4,989","6,310","8,225"
PBR(배),0.00,0.00,3.79,3.47,3.39,2.53,2.00,1.53
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"4,507,999","4,879,999","6,930,575","7,193,175","8,047,697",,,
