주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,415,345,608,667,600
영업이익,11,-24,29,56,-15
영업이익(발표기준),11,-24,29,56,-15
세전계속사업이익,11,-32,17,55,-10
당기순이익,11,-32,17,51,-9
  당기순이익(지배),11,-32,17,51,-9
  당기순이익(비지배),,,,,
자산총계,164,210,262,363,553
부채총계,70,149,182,154,148
자본총계,94,62,80,209,405
  자본총계(지배),94,62,80,209,405
  자본총계(비지배),,,,,
자본금,12,25,25,29,37
영업활동현금흐름,27,-21,65,102,-16
투자활동현금흐름,-17,-41,11,-58,-235
재무활동현금흐름,19,60,-15,-11,199
CAPEX,3,6,2,64,15
FCF,25,-27,62,38,-31
이자발생부채,16,51,61,8,8
영업이익률,2.59,-6.98,4.79,8.45,-2.52
순이익률,2.66,-9.39,2.72,7.61,-1.46
ROE(%),13.82,-41.51,23.32,35.10,-2.86
ROA(%),8.15,-17.31,7.00,16.25,-1.92
부채비율,73.73,241.00,227.15,73.36,36.56
자본유보율,673.02,122.09,184.26,585.64,"1,008.16"
EPS(원),235,-624,298,911,-133
PER(배),,,,,N/A
BPS(원),"1,933","1,111","1,443","3,566","5,550"
PBR(배),0.00,0.00,0.00,0.00,4.77
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,325,000","4,991,664","4,995,244","5,868,635","7,302,549"
