주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,650,817,704,577,276
영업이익,-13,-15,-152,-88,-64
영업이익(발표기준),-13,-15,-152,-88,-64
세전계속사업이익,-38,-24,-206,-98,-46
당기순이익,-41,-25,-214,-106,-14
  당기순이익(지배),-45,-11,-178,-105,-14
  당기순이익(비지배),5,-13,-36,-1,
자산총계,"1,170","1,077",892,767,531
부채총계,429,356,389,368,140
자본총계,740,721,503,399,391
  자본총계(지배),707,700,519,415,391
  자본총계(비지배),33,,-16,-17,
자본금,186,188,188,188,188
영업활동현금흐름,-108,-21,-86,-24,-95
투자활동현금흐름,-204,-257,47,48,66
재무활동현금흐름,674,-62,56,-37,-2
CAPEX,127,45,16,6,4
FCF,-235,-65,-102,-30,-100
이자발생부채,267,193,214,149,79
영업이익률,-2.00,-1.87,-21.53,-15.28,-23.20
순이익률,-6.26,-3.02,-30.42,-18.38,-5.19
ROE(%),-9.65,-1.60,-29.14,-22.55,-3.57
ROA(%),-4.75,-2.19,-21.75,-12.78,-2.58
부채비율,58.00,49.38,77.21,92.23,35.66
자본유보율,282.98,274.78,180.17,123.97,111.10
EPS(원),-191,-30,-474,-281,-38
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,906","1,867","1,385","1,108","1,043"
PBR(배),3.05,1.88,2.17,2.65,5.32
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"37,111,093","37,512,152","37,512,152","37,512,152","37,512,152"
