주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"10,538","10,665","10,884","9,491","9,276","9,719","10,089","10,392"
영업이익,252,193,156,143,66,171,242,273
영업이익(발표기준),252,193,156,143,66,,,
세전계속사업이익,"1,000",712,312,139,489,358,434,470
당기순이익,745,448,316,79,376,275,334,361
  당기순이익(지배),745,448,316,79,376,275,334,361
  당기순이익(비지배),,,,,,,,
자산총계,"8,963","9,079","9,206","9,337","9,571","9,991","10,345","10,716"
부채총계,"3,898","3,648","3,441","3,479","3,113","3,295","3,353","3,400"
자본총계,"5,065","5,431","5,765","5,858","6,458","6,696","6,992","7,316"
  자본총계(지배),"5,065","5,431","5,765","5,858","6,458","6,696","6,992","7,316"
  자본총계(비지배),,,,,,,,
자본금,105,105,105,105,105,105,105,105
영업활동현금흐름,412,268,435,631,490,694,698,733
투자활동현금흐름,91,342,-732,-243,70,-432,-433,-433
재무활동현금흐름,-372,-49,-222,382,-376,-55,-53,-51
CAPEX,693,496,775,365,207,,,
FCF,-281,-228,-340,266,283,244,248,283
이자발생부채,"1,125","1,075",915,"1,529","1,119",,,
영업이익률,2.39,1.81,1.43,1.51,0.71,1.76,2.40,2.63
순이익률,7.07,4.20,2.90,0.84,4.05,2.83,3.31,3.47
ROE(%),15.06,8.54,5.65,1.36,6.10,4.18,4.88,5.05
ROA(%),8.23,4.97,3.46,0.86,3.98,2.81,3.28,3.43
부채비율,76.95,67.17,59.69,59.39,48.21,49.21,47.95,46.47
자본유보율,"4,584.82","5,263.54","5,536.67","5,609.46","5,943.96",,,
EPS(원),"3,549","2,135","1,506",377,"1,790","1,310","1,590","1,719"
PER(배),2.96,3.12,5.73,24.30,5.64,6.93,5.71,5.28
BPS(원),"24,123","25,863","27,454","28,525","31,445","32,605","34,047","35,624"
PBR(배),0.44,0.26,0.31,0.32,0.32,0.28,0.27,0.25
현금DPS(원),160,160,180,180,180,180,180,180
현금배당수익률,1.52,2.40,2.09,1.96,1.78,1.98,1.98,1.98
현금배당성향(%),4.51,7.49,11.95,46.64,9.84,13.74,11.32,10.47
발행주식수(보통주),"21,000,000","21,000,000","21,000,000","21,000,000","21,000,000",,,
