주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,211,133,162,492,511,583
영업이익,12,1,16,130,101,103
영업이익(발표기준),12,1,16,130,101,
세전계속사업이익,12,0,15,5,105,
당기순이익,12,2,15,-9,95,
  당기순이익(지배),12,2,15,-9,95,
  당기순이익(비지배),,,,,,
자산총계,55,106,124,306,756,
부채총계,23,72,74,137,183,
자본총계,32,34,49,170,573,
  자본총계(지배),32,34,49,170,573,
  자본총계(비지배),,,,,,
자본금,7,7,7,7,30,
영업활동현금흐름,-11,3,30,61,94,
투자활동현금흐름,-5,-40,-3,-56,-485,
재무활동현금흐름,20,52,-5,25,348,
CAPEX,4,39,2,94,53,
FCF,-15,-36,28,-33,41,
이자발생부채,10,62,56,82,116,
영업이익률,5.82,0.64,9.98,26.35,19.81,17.67
순이익률,5.89,1.38,9.43,-1.84,18.54,
ROE(%),75.63,5.48,36.41,-8.23,25.50,
ROA(%),34.15,2.26,13.25,-4.19,17.83,
부채비율,71.18,209.49,150.57,80.54,31.92,
자본유보율,395.79,423.70,656.77,"2,491.74","1,775.00",
EPS(원),272,39,326,-192,"1,687",
PER(배),19.94,48.69,4.55,N/A,23.41,
BPS(원),693,732,"1,057","3,245","9,407",
PBR(배),7.84,2.60,1.40,7.62,4.20,
현금DPS(원),0,0,0,0,350,
현금배당수익률,0.00,0.00,0.00,0.00,0.89,
현금배당성향(%),0.00,0.00,0.00,0.00,22.51,
발행주식수(보통주),"4,493,520","4,493,520","4,493,520","5,228,424","6,095,671",
