주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,266,263,327,406,719,885,"1,030"
영업이익,57,53,77,96,223,285,330
영업이익(발표기준),57,53,77,96,223,,
세전계속사업이익,56,51,84,115,234,294,340
당기순이익,48,47,73,100,196,240,278
  당기순이익(지배),48,47,73,100,196,240,278
  당기순이익(비지배),,,,,,,
자산총계,298,365,433,795,983,"1,234","1,492"
부채총계,93,93,101,75,82,137,154
자본총계,205,272,332,720,901,"1,096","1,338"
  자본총계(지배),205,272,332,720,901,"1,096","1,338"
  자본총계(비지배),,,,,,,
자본금,20,20,20,24,45,24,24
영업활동현금흐름,47,64,78,93,190,263,285
투자활동현금흐름,-107,-29,-38,-247,-153,-58,-52
재무활동현금흐름,41,-26,-19,253,-18,-33,-35
CAPEX,105,26,39,30,156,48,44
FCF,-58,37,40,64,34,193,231
이자발생부채,60,44,34,1,2,,
영업이익률,21.61,20.03,23.65,23.61,31.05,32.20,32.01
순이익률,18.06,17.69,22.31,24.71,27.24,27.06,26.96
ROE(%),25.90,,24.10,19.09,24.17,23.98,22.80
ROA(%),18.80,,18.25,16.36,22.03,21.61,20.37
부채비율,45.27,34.11,30.35,10.43,9.13,12.49,11.51
자본유보율,927.05,"1,257.62","1,557.66","2,855.10","1,910.91",,
EPS(원),750,728,"1,138","1,504","2,410","2,947","3,414"
PER(배),,,,14.22,19.63,12.74,11.00
BPS(원),"3,210","4,256","5,192","8,852","11,084","13,490","16,455"
PBR(배),0.00,0.00,0.00,2.42,4.27,2.78,2.28
현금DPS(원),150,150,200,200,400,425,450
현금배당수익률,,,,0.93,0.85,1.13,1.20
현금배당성향(%),19.99,20.61,1.76,16.19,16.60,14.42,13.18
발행주식수(보통주),"6,400,000","6,400,000","6,400,000","8,128,000","8,128,000",,
