주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,22,,,,17
영업이익,-24,-76,-81,-94,-112
영업이익(발표기준),-24,-76,-81,-94,-112
세전계속사업이익,-26,-79,-80,-128,-162
당기순이익,-26,-79,-80,-114,-162
  당기순이익(지배),-26,-79,-80,-114,-162
  당기순이익(비지배),,,,,0
자산총계,76,82,56,348,420
부채총계,14,2,6,218,274
자본총계,61,80,50,130,146
  자본총계(지배),61,80,50,124,121
  자본총계(비지배),,,,7,25
자본금,64,69,71,105,110
영업활동현금흐름,-40,-53,-69,-76,-92
투자활동현금흐름,-2,-38,29,18,-58
재무활동현금흐름,84,83,41,258,147
CAPEX,2,1,1,10,19
FCF,-42,-54,-71,-86,-111
이자발생부채,7,0,2,146,179
영업이익률,-111.18,,,,-674.87
순이익률,-120.44,,,,-976.01
ROE(%),-89.72,-112.15,-123.85,,-132.58
ROA(%),-59.59,-100.71,-116.74,,-42.29
부채비율,23.41,2.12,12.52,167.11,187.37
자본유보율,-4.78,13.37,-29.85,23.97,-6.66
EPS(원),-30,-82,-79,-110,-153
PER(배),,,,N/A,N/A
BPS(원),65,80,48,118,110
PBR(배),,,,38.23,23.14
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"93,481,446","99,771,962","102,458,042","104,942,629","110,289,803"
