주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,380,353,370,353,401
영업이익,52,9,-25,-26,11
영업이익(발표기준),52,9,-25,-26,11
세전계속사업이익,32,1,-129,-44,-9
당기순이익,31,3,-94,-24,6
  당기순이익(지배),31,3,-94,-24,6
  당기순이익(비지배),,,,,
자산총계,924,938,862,"1,001",951
부채총계,74,107,110,256,199
자본총계,851,832,752,745,752
  자본총계(지배),851,832,752,745,752
  자본총계(비지배),,,,,
자본금,44,44,44,44,54
영업활동현금흐름,17,73,45,7,-39
투자활동현금흐름,-60,-49,-118,-67,-33
재무활동현금흐름,-17,6,16,135,8
CAPEX,18,15,23,25,3
FCF,-1,58,22,-18,-42
이자발생부채,35,59,48,177,134
영업이익률,13.71,2.61,-6.65,-7.45,2.84
순이익률,8.27,0.77,-25.43,-6.88,1.55
ROE(%),,0.32,-11.79,-3.25,0.83
ROA(%),,0.29,-10.49,-2.61,0.64
부채비율,8.69,12.82,14.68,34.36,26.45
자본유보율,"1,833.03","1,790.50","1,608.72","1,592.52","1,385.51"
EPS(원),357,31,"-1,070",-276,64
PER(배),24.79,172.63,N/A,N/A,120.31
BPS(원),"9,665","9,453","8,544","8,463","7,370"
PBR(배),0.92,0.57,0.70,0.89,1.04
현금DPS(원),281,0,0,70,
현금배당수익률,3.17,0.00,0.00,0.93,
현금배당성향(%),78.61,0.00,0.00,-25.36,
발행주식수(보통주),"8,800,000","8,800,000","8,800,000","8,800,000","10,794,010"
