주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,472,653,968,"1,325","2,076","2,816","3,215","3,536"
영업이익,99,188,242,306,541,800,918,"1,010"
영업이익(발표기준),99,188,242,306,541,,,
세전계속사업이익,102,188,226,253,517,846,964,"1,056"
당기순이익,90,162,214,372,472,719,791,866
  당기순이익(지배),90,162,214,372,472,719,791,866
  당기순이익(비지배),,,,,,,,
자산총계,962,"1,116","3,427","4,561","5,335","6,085","6,905","7,795"
부채총계,292,302,"1,793","2,323","2,711","2,776","2,840","2,906"
자본총계,670,814,"1,633","2,238","2,624","3,308","4,065","4,889"
  자본총계(지배),670,814,"1,633","2,238","2,624","3,308","4,065","4,889"
  자본총계(비지배),,,,,,,,
자본금,34,34,40,85,85,85,85,85
영업활동현금흐름,219,324,436,698,"1,341","1,773","1,976","2,101"
투자활동현금흐름,-198,-300,"-1,248","-1,775","-1,131","-1,560","-1,024",-825
재무활동현금흐름,33,-4,"1,620",269,-29,-27,-34,-42
CAPEX,189,243,890,"1,981","1,133","1,537","1,000",800
FCF,30,82,-454,"-1,284",208,213,952,"1,276"
이자발생부채,167,208,"1,346","1,744","2,077",,,
영업이익률,20.91,28.73,24.98,23.06,26.04,28.41,28.55,28.56
순이익률,19.06,24.87,22.12,28.09,22.72,25.53,24.60,24.49
ROE(%),14.33,21.87,17.50,19.23,19.40,24.24,21.46,19.34
ROA(%),10.31,15.62,9.43,9.32,9.53,12.59,12.18,11.78
부채비율,43.62,37.04,109.82,103.78,103.31,83.92,69.86,59.44
자본유보율,"1,898.63","2,343.18","3,974.58","2,478.93","2,990.64",,,
EPS(원),660,"1,192","1,549","2,248","2,761","4,210","4,631","5,070"
PER(배),10.74,8.19,16.57,25.00,18.09,10.88,9.89,9.03
BPS(원),"4,985","6,061","10,304","13,173","15,444","19,469","23,924","28,773"
PBR(배),1.42,1.61,2.49,4.27,3.23,2.35,1.91,1.59
현금DPS(원),75,86,101,130,160,200,250,270
현금배당수익률,1.06,0.88,0.39,0.23,0.32,0.44,0.55,0.59
현금배당성향(%),11.13,6.99,7.40,5.93,6.55,4.11,4.67,4.60
발행주식수(보통주),"13,618,155","13,618,155","13,618,155","14,759,577","14,759,577",,,
