주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,752,761,986,"1,060","1,118","1,154","1,311"
영업이익,125,149,262,317,324,343,423
영업이익(발표기준),125,149,262,317,324,,
세전계속사업이익,148,121,242,278,316,,
당기순이익,116,90,184,219,232,,
  당기순이익(지배),115,90,184,219,232,269,324
  당기순이익(비지배),1,,,,,,
자산총계,"1,883","2,091","2,429","2,602","2,945",,
부채총계,807,926,"1,081","1,030","1,028",,
자본총계,"1,076","1,166","1,348","1,572","1,917",,
  자본총계(지배),"1,076","1,166","1,348","1,572","1,917",,
  자본총계(비지배),,,,,,,
자본금,89,91,91,91,91,,
영업활동현금흐름,165,172,305,336,324,,
투자활동현금흐름,-297,-232,-314,-178,-344,,
재무활동현금흐름,123,119,85,-130,-47,,
CAPEX,304,236,299,51,32,,
FCF,-138,-64,6,285,292,,
이자발생부채,622,753,852,729,713,,
영업이익률,16.65,19.63,26.52,29.89,29.00,29.72,32.27
순이익률,15.39,11.88,18.68,20.64,20.79,,
ROE(%),11.30,8.06,14.66,15.00,13.32,,
ROA(%),6.41,4.55,8.15,8.70,8.38,,
부채비율,75.05,79.39,80.22,65.51,53.65,,
자본유보율,"1,106.71","1,182.25","1,382.01","1,620.79","1,876.27",,
EPS(원),632,496,"1,012","1,203","1,277","1,478","1,780"
PER(배),6.64,9.03,10.32,11.43,8.42,8.19,6.80
BPS(원),"5,910","6,406","7,405","8,637","10,590",,
PBR(배),0.71,0.70,1.41,1.59,1.02,,
현금DPS(원),0,,,,,,
현금배당수익률,0.00,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"18,199,659","18,199,659","18,199,659","18,199,659","18,199,659",,
