주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,777,"1,765","1,720","1,975","2,401"
영업이익,69,109,102,166,154
영업이익(발표기준),69,109,102,166,154
세전계속사업이익,76,106,91,154,117
당기순이익,90,72,62,113,81
  당기순이익(지배),90,72,62,113,81
  당기순이익(비지배),,,,,
자산총계,"1,028","1,267","1,321","1,733","2,112"
부채총계,397,718,670,782,845
자본총계,631,549,650,951,"1,267"
  자본총계(지배),631,549,650,951,"1,267"
  자본총계(비지배),,,,,
자본금,81,73,76,89,105
영업활동현금흐름,39,257,157,193,67
투자활동현금흐름,-541,-13,-109,-407,26
재무활동현금흐름,458,-173,-115,186,-15
CAPEX,2,75,134,40,30
FCF,37,182,23,153,38
이자발생부채,278,318,210,221,221
영업이익률,8.87,6.19,5.96,8.38,6.42
순이익률,11.52,4.11,3.62,5.71,3.39
ROE(%),19.83,,10.38,14.08,7.33
ROA(%),11.63,,4.81,7.38,4.23
부채비율,62.92,130.94,103.06,82.19,66.66
자본유보율,677.17,601.19,711.50,932.64,"1,065.15"
EPS(원),131,86,73,115,79
PER(배),,,,,39.74
BPS(원),740,650,746,935,"1,206"
PBR(배),,,,,2.61
현금DPS(원),0,0,0,0,30
현금배당수익률,,,0.00,0.00,0.95
현금배당성향(%),13.41,0.00,0.00,0.00,38.78
발행주식수(보통주),"83,520,160","83,520,160","87,160,593","101,722,324","105,102,324"
