주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,63,100,97,62,67
영업이익,4,-4,-17,-24,-23
영업이익(발표기준),4,-4,-17,-24,-23
세전계속사업이익,4,-23,-24,-34,-21
당기순이익,4,-22,-20,-40,-20
  당기순이익(지배),4,-22,-20,-43,-22
  당기순이익(비지배),,,,3,2
자산총계,124,122,211,186,170
부채총계,5,98,34,49,47
자본총계,120,24,178,136,123
  자본총계(지배),120,24,178,135,120
  자본총계(비지배),,,,2,3
자본금,26,24,34,34,35
영업활동현금흐름,2,1,-17,-2,-7
투자활동현금흐름,-40,-31,-64,14,-2
재무활동현금흐름,50,10,82,-12,2
CAPEX,36,24,8,2,1
FCF,-34,-22,-25,-4,-8
이자발생부채,0,76,27,19,17
영업이익률,6.68,-3.73,-17.62,-39.18,-34.14
순이익률,5.84,-21.95,-20.12,-64.48,-30.08
ROE(%),3.99,,-19.45,-27.56,-17.25
ROA(%),3.80,,-11.74,-20.26,-11.32
부채비율,3.83,416.16,19.06,35.98,37.73
자본유보율,354.14,54.39,443.97,316.87,269.05
EPS(원),73,-413,-340,-636,-321
PER(배),,,N/A,N/A,N/A
BPS(원),"2,271",442,"2,685","2,035","1,763"
PBR(배),0.00,0.00,2.95,2.47,7.54
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,823,900","4,823,900","6,761,196","6,761,196","6,951,196"
