주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,319,332,329,363,409
영업이익,55,35,27,40,45
영업이익(발표기준),55,35,27,40,45
세전계속사업이익,54,36,21,33,64
당기순이익,46,35,19,32,76
  당기순이익(지배),46,35,19,32,76
  당기순이익(비지배),,,,,
자산총계,816,967,966,"1,050","1,130"
부채총계,169,117,102,174,200
자본총계,647,850,864,876,930
  자본총계(지배),647,850,864,876,930
  자본총계(비지배),,,,,
자본금,37,50,50,50,50
영업활동현금흐름,76,57,83,83,115
투자활동현금흐름,-135,-185,-40,-131,-120
재무활동현금흐름,15,139,-20,39,-9
CAPEX,132,59,67,154,143
FCF,-56,-2,16,-71,-28
이자발생부채,85,54,43,103,119
영업이익률,17.41,10.57,8.24,11.10,11.10
순이익률,14.37,10.42,5.63,8.71,18.58
ROE(%),7.32,4.61,2.16,3.64,
ROA(%),5.90,3.87,1.92,3.14,
부채비율,26.20,13.81,11.81,19.91,21.49
자본유보율,"1,667.12","1,607.50","1,634.86","1,686.43","1,827.26"
EPS(원),505,365,186,318,763
PER(배),27.53,45.50,96.69,54.15,19.65
BPS(원),"7,126","8,536","8,673","8,880","9,528"
PBR(배),1.95,1.94,2.08,1.94,1.57
현금DPS(원),40,50,50,70,100
현금배당수익률,0.29,0.30,0.28,0.41,0.67
현금배당성향(%),7.99,14.42,26.85,21.81,12.84
발행주식수(보통주),"9,075,661","9,960,000","9,960,000","9,960,000","9,960,000"
