주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,68,106,106,113,82,188
영업이익,33,15,-70,-41,-68,35
영업이익(발표기준),33,15,-70,-41,-68,
세전계속사업이익,28,6,-171,-205,17,40
당기순이익,28,5,-174,-204,15,40
  당기순이익(지배),28,5,-171,-198,15,40
  당기순이익(비지배),,,-3,-5,0,
자산총계,156,181,274,226,354,
부채총계,11,18,616,772,56,
자본총계,145,163,-342,-546,298,
  자본총계(지배),145,163,-348,-547,298,
  자본총계(비지배),,,7,1,0,
자본금,21,21,15,15,30,
영업활동현금흐름,8,12,-11,-21,-62,
투자활동현금흐름,-39,-28,-68,-5,-60,
재무활동현금흐름,51,15,172,-9,198,
CAPEX,7,2,13,7,60,
FCF,2,10,-24,-28,-122,
이자발생부채,0,0,592,745,34,
영업이익률,48.82,14.16,-65.61,-35.88,-81.88,18.62
순이익률,40.46,5.00,-163.37,-180.54,17.94,21.28
ROE(%),,3.44,,44.31,-12.17,
ROA(%),,3.14,,-81.57,5.10,
부채비율,7.61,11.10,-180.21,-141.31,18.69,
자본유보율,595.81,666.99,"-2,483.02","-3,815.14",865.76,
EPS(원),704,126,"-3,373","-3,673",276,658
PER(배),,,,,113.08,27.43
BPS(원),"3,479","3,835","-6,452","-10,124","4,928",
PBR(배),0.00,0.00,0.00,0.00,6.34,
현금DPS(원),0,0,0,0,,
현금배당수익률,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"2,703,940","2,778,330","2,947,870","2,955,420","6,044,583",
