주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,194,208,178,184,87
영업이익,16,8,-33,3,-95
영업이익(발표기준),16,8,-33,3,-95
세전계속사업이익,7,-14,-56,-30,-304
당기순이익,7,-16,-58,-30,-304
  당기순이익(지배),7,-16,-58,-30,-304
  당기순이익(비지배),,,,,
자산총계,199,304,223,323,"1,035"
부채총계,121,112,65,118,764
자본총계,77,191,158,204,271
  자본총계(지배),77,191,158,204,271
  자본총계(비지배),,,,,
자본금,9,18,20,26,80
영업활동현금흐름,-12,11,-33,12,-179
투자활동현금흐름,-7,-14,57,-24,-787
재무활동현금흐름,-2,1,-46,126,841
CAPEX,3,16,1,8,29
FCF,-15,-5,-34,5,-209
이자발생부채,52,74,34,83,190
영업이익률,8.05,4.00,-18.32,1.52,-109.60
순이익률,3.58,-7.48,-32.49,-16.15,-350.95
ROE(%),9.50,-11.59,-33.18,-16.43,-127.88
ROA(%),3.63,-6.19,-21.98,-10.90,-44.77
부채비율,156.79,58.88,41.34,57.95,281.86
자본유보율,735.11,953.97,677.32,679.90,238.02
EPS(원),39,-86,-299,-117,-428
PER(배),,N/A,N/A,N/A,N/A
BPS(원),427,"1,055",780,782,317
PBR(배),,1.60,2.15,1.04,7.32
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"18,152,087","18,152,087","20,249,101","26,144,727","80,294,434"
