주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,60,72,78,87,70
영업이익,-20,-13,-15,1,-16
영업이익(발표기준),-20,-13,-15,1,-16
세전계속사업이익,-43,9,-8,-1,-28
당기순이익,-38,9,-8,-1,-28
  당기순이익(지배),-40,9,-8,-1,-28
  당기순이익(비지배),2,,,,
자산총계,183,181,246,221,330
부채총계,176,166,104,80,206
자본총계,7,15,142,141,124
  자본총계(지배),7,15,142,141,124
  자본총계(비지배),,,,,
자본금,34,34,46,46,47
영업활동현금흐름,-3,-4,-14,20,-29
투자활동현금흐름,14,-1,-50,24,-90
재무활동현금흐름,-24,22,54,-16,114
CAPEX,2,1,1,7,4
FCF,-5,-5,-15,13,-33
이자발생부채,123,137,67,53,100
영업이익률,-33.46,-17.97,-19.45,0.78,-23.34
순이익률,-63.02,11.96,-10.04,-1.06,-40.32
ROE(%),-212.48,76.09,-9.96,-0.65,-21.28
ROA(%),-17.49,4.72,-3.66,-0.39,-10.25
부채비율,"2,396.84","1,086.75",73.51,56.55,165.88
자본유보율,-77.59,-54.10,210.26,209.84,162.93
EPS(원),-267,56,-43,-5,-139
PER(배),,,N/A,N/A,N/A
BPS(원),48,99,705,704,606
PBR(배),0.00,0.00,3.48,6.04,6.50
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,,0.00,
발행주식수(보통주),"14,769,290","14,769,290","20,064,453","20,064,453","20,464,549"
