주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,428,288,24,81,177
영업이익,-31,-42,-1,-21,5
영업이익(발표기준),-31,-42,-1,-21,5
세전계속사업이익,-46,-114,-13,-20,5
당기순이익,-48,-116,-33,-91,6
  당기순이익(지배),-48,-116,-33,-91,6
  당기순이익(비지배),,,,,
자산총계,330,349,438,447,365
부채총계,121,210,332,289,191
자본총계,209,139,106,158,174
  자본총계(지배),209,139,106,158,174
  자본총계(비지배),,,,,
자본금,49,80,80,159,167
영업활동현금흐름,-67,-79,-17,-159,9
투자활동현금흐름,34,-24,-72,1,48
재무활동현금흐름,25,79,95,130,-30
CAPEX,13,16,,9,1
FCF,-80,-95,-17,-168,8
이자발생부채,69,103,208,196,156
영업이익률,-7.26,-14.62,-5.48,-26.27,2.76
순이익률,-11.18,-40.42,-137.90,-112.34,3.59
ROE(%),-20.51,-66.83,,-68.62,3.82
ROA(%),-13.00,-34.27,,-20.46,1.56
부채비율,57.68,151.17,312.20,183.45,109.99
자본유보율,328.51,75.16,34.25,-0.44,4.35
EPS(원),-298,-708,-171,-343,20
PER(배),N/A,N/A,N/A,N/A,34.33
BPS(원),"1,306",711,544,497,521
PBR(배),1.50,1.91,3.13,1.38,1.31
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"16,068,680","19,595,961","19,595,961","31,740,000","33,370,000"
