주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,218,240,282,463,611
영업이익,25,12,5,18,3
영업이익(발표기준),25,12,5,18,3
세전계속사업이익,25,8,3,1,-52
당기순이익,19,10,6,5,-47
  당기순이익(지배),19,10,6,5,-48
  당기순이익(비지배),,,,0,0
자산총계,142,360,435,550,591
부채총계,89,225,294,492,405
자본총계,53,135,141,57,186
  자본총계(지배),53,135,141,57,186
  자본총계(비지배),,,,0,
자본금,4,5,5,4,5
영업활동현금흐름,4,-28,-48,4,6
투자활동현금흐름,-11,-187,-12,-24,50
재무활동현금흐름,22,206,59,44,-15
CAPEX,5,189,10,25,5
FCF,-1,-217,-58,-21,2
이자발생부채,60,194,252,369,293
영업이익률,11.46,5.21,1.65,3.92,0.43
순이익률,8.76,4.28,2.03,1.16,-7.77
ROE(%),,10.93,4.15,,-39.07
ROA(%),,4.09,1.44,,-8.32
부채비율,168.17,166.89,209.25,856.20,218.17
자본유보율,"1,226.62","2,665.49","2,782.84","1,329.50","3,524.63"
EPS(원),77,42,23,22,-168
PER(배),,,,,
BPS(원),215,545,568,232,586
PBR(배),,,,,
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"24,721,865","24,721,865","24,721,865","24,721,865","31,686,323"
