주요재무정보,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,547,678,"1,142","1,776","2,297","2,530"
영업이익,182,87,269,436,594,600
영업이익(발표기준),182,87,269,,,
세전계속사업이익,65,-366,265,388,548,590
당기순이익,47,-351,246,354,496,540
  당기순이익(지배),47,-351,246,366,522,600
  당기순이익(비지배),,,,,,
자산총계,"1,589","3,019","4,175","4,921","5,611","5,880"
부채총계,"1,272","1,539","2,165","2,696","2,890","2,490"
자본총계,316,"1,481","2,010","2,224","2,720","3,390"
  자본총계(지배),316,"1,481","2,010","2,234","2,750","3,510"
  자본총계(비지배),,,,,,
자본금,31,54,61,57,57,60
영업활동현금흐름,279,391,695,"1,306","1,650","1,550"
투자활동현금흐름,-915,"-1,280",-943,"-1,800",-900,-500
재무활동현금흐름,765,"1,284",412,-508,7,0
CAPEX,861,"1,318",948,"1,800",900,500
FCF,-582,-927,-254,-456,780,"1,050"
이자발생부채,851,"1,269","1,390",,,
영업이익률,33.28,12.75,23.57,24.54,25.88,23.71
순이익률,8.50,-51.81,21.54,19.90,21.62,21.34
ROE(%),,-39.12,14.09,17.25,20.92,19.17
ROA(%),,-15.25,6.84,7.77,9.43,9.40
부채비율,402.14,103.94,107.73,121.22,106.25,73.45
자본유보율,906.72,"2,646.18","3,199.39",,,
EPS(원),860,"-4,124","2,068","3,004","4,280","4,924"
PER(배),,N/A,24.27,13.92,9.77,8.49
BPS(원),"3,876","13,343","16,497","18,340","22,575","28,808"
PBR(배),0.00,3.81,3.04,2.28,1.85,1.45
현금DPS(원),0,0,,0,0,0
현금배당수익률,,0.00,,0.00,0.00,0.00
현금배당성향(%),1.01,0.00,,,,
발행주식수(보통주),"6,285,715","10,782,436","12,184,045",,,
