주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/06
(IFRS연결)","2021/06
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,127",907,472,376,154
영업이익,49,-259,-115,-14,5
영업이익(발표기준),49,-259,-115,-14,5
세전계속사업이익,66,-365,-188,-2,11
당기순이익,52,-384,-188,-3,11
  당기순이익(지배),52,-380,-188,-3,11
  당기순이익(비지배),0,-3,,,
자산총계,864,783,505,383,370
부채총계,497,729,468,233,208
자본총계,367,54,37,150,162
  자본총계(지배),366,54,37,150,162
  자본총계(비지배),,,,,
자본금,59,151,151,69,69
영업활동현금흐름,71,-184,-122,-166,37
투자활동현금흐름,-10,-220,229,176,12
재무활동현금흐름,-5,357,-261,8,4
CAPEX,42,7,0,0,
FCF,30,-191,-123,-167,37
이자발생부채,242,406,254,148,152
영업이익률,4.38,-28.53,-24.38,-3.62,3.44
순이익률,4.61,-42.35,-39.88,-0.70,7.36
ROE(%),14.11,-181.03,-411.13,-2.80,7.27
ROA(%),6.48,-46.60,-29.19,-0.59,3.02
부채비율,135.51,"1,344.07","1,257.10",155.17,127.92
자본유보율,555.57,-47.59,-107.65,155.93,172.39
EPS(원),"2,236","-14,829","-6,208",-43,82
PER(배),12.99,N/A,N/A,N/A,37.59
BPS(원),"15,975","1,824",624,"1,094","1,183"
PBR(배),1.82,9.40,4.97,2.83,2.62
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"2,320,259","3,013,620","6,013,620","13,780,746","13,780,746"
