주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,409,400,334,329,342
영업이익,6,7,4,4,11
영업이익(발표기준),6,7,4,4,11
세전계속사업이익,9,10,-9,6,12
당기순이익,7,7,-10,5,21
  당기순이익(지배),7,7,-10,5,21
  당기순이익(비지배),,,,,
자산총계,262,259,242,240,262
부채총계,99,92,86,76,75
자본총계,162,168,157,164,188
  자본총계(지배),162,168,157,164,188
  자본총계(비지배),,,,,
자본금,47,47,47,47,48
영업활동현금흐름,-6,42,-22,9,34
투자활동현금흐름,-5,-30,-13,42,-41
재무활동현금흐름,-6,-7,-15,-12,1
CAPEX,3,4,2,1,6
FCF,-10,38,-24,9,28
이자발생부채,0,0,9,8,19
영업이익률,1.54,1.81,1.30,1.24,3.08
순이익률,1.63,1.85,-2.97,1.41,6.05
ROE(%),4.08,4.49,-6.13,2.90,11.77
ROA(%),2.64,2.85,-3.96,1.93,8.24
부채비율,61.21,54.63,54.82,46.49,39.71
자본유보율,239.76,255.96,217.84,238.80,293.98
EPS(원),71,79,-106,50,215
PER(배),51.17,35.45,N/A,93.62,30.19
BPS(원),"1,738","1,796","1,676","1,752","1,942"
PBR(배),2.09,1.57,2.06,2.65,3.35
현금DPS(원),80,100,60,100,150
현금배당수익률,2.20,3.55,1.74,2.15,2.31
현금배당성향(%),112.46,125.94,-56.34,201.34,70.14
발행주식수(보통주),"9,340,922","9,340,922","9,340,922","9,340,922","9,673,922"
